bucket_open_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,complete
2026-07-10 00:45:00-04:00,29915.5,29917.5,29903.5,29903.75,378,5,2026-07-10 00:45:00-04:00,2026-07-10 00:49:00-04:00,2026-07-10 00:50:00-04:00,2026-07-10 00:50:00-04:00,5m,True
2026-07-10 00:50:00-04:00,29903.25,29904.0,29884.0,29892.5,576,5,2026-07-10 00:50:00-04:00,2026-07-10 00:54:00-04:00,2026-07-10 00:55:00-04:00,2026-07-10 00:55:00-04:00,5m,True
2026-07-10 00:55:00-04:00,29893.0,29898.5,29875.25,29881.75,592,5,2026-07-10 00:55:00-04:00,2026-07-10 00:59:00-04:00,2026-07-10 01:00:00-04:00,2026-07-10 01:00:00-04:00,5m,True
2026-07-10 01:00:00-04:00,29883.75,29886.5,29868.5,29873.75,454,5,2026-07-10 01:00:00-04:00,2026-07-10 01:04:00-04:00,2026-07-10 01:05:00-04:00,2026-07-10 01:05:00-04:00,5m,True
2026-07-10 01:05:00-04:00,29872.5,29881.0,29865.75,29868.25,411,5,2026-07-10 01:05:00-04:00,2026-07-10 01:09:00-04:00,2026-07-10 01:10:00-04:00,2026-07-10 01:10:00-04:00,5m,True
2026-07-10 01:10:00-04:00,29868.5,29885.25,29867.0,29882.5,376,5,2026-07-10 01:10:00-04:00,2026-07-10 01:14:00-04:00,2026-07-10 01:15:00-04:00,2026-07-10 01:15:00-04:00,5m,True
2026-07-10 01:15:00-04:00,29883.25,29897.0,29879.25,29886.0,545,5,2026-07-10 01:15:00-04:00,2026-07-10 01:19:00-04:00,2026-07-10 01:20:00-04:00,2026-07-10 01:20:00-04:00,5m,True
2026-07-10 01:20:00-04:00,29885.0,29887.0,29870.25,29877.75,381,5,2026-07-10 01:20:00-04:00,2026-07-10 01:24:00-04:00,2026-07-10 01:25:00-04:00,2026-07-10 01:25:00-04:00,5m,True
2026-07-10 01:25:00-04:00,29878.25,29882.0,29871.0,29876.5,224,5,2026-07-10 01:25:00-04:00,2026-07-10 01:29:00-04:00,2026-07-10 01:30:00-04:00,2026-07-10 01:30:00-04:00,5m,True
2026-07-10 01:30:00-04:00,29877.25,29879.5,29863.25,29876.75,318,5,2026-07-10 01:30:00-04:00,2026-07-10 01:34:00-04:00,2026-07-10 01:35:00-04:00,2026-07-10 01:35:00-04:00,5m,True
2026-07-10 01:35:00-04:00,29877.75,29881.25,29862.5,29862.5,366,5,2026-07-10 01:35:00-04:00,2026-07-10 01:39:00-04:00,2026-07-10 01:40:00-04:00,2026-07-10 01:40:00-04:00,5m,True
2026-07-10 01:40:00-04:00,29864.0,29875.25,29852.0,29875.0,869,5,2026-07-10 01:40:00-04:00,2026-07-10 01:44:00-04:00,2026-07-10 01:45:00-04:00,2026-07-10 01:45:00-04:00,5m,True
2026-07-10 01:45:00-04:00,29875.75,29875.75,29858.25,29860.0,362,5,2026-07-10 01:45:00-04:00,2026-07-10 01:49:00-04:00,2026-07-10 01:50:00-04:00,2026-07-10 01:50:00-04:00,5m,True
2026-07-10 01:50:00-04:00,29859.0,29874.0,29853.0,29854.5,360,5,2026-07-10 01:50:00-04:00,2026-07-10 01:54:00-04:00,2026-07-10 01:55:00-04:00,2026-07-10 01:55:00-04:00,5m,True
2026-07-10 01:55:00-04:00,29854.25,29856.0,29840.0,29845.5,462,5,2026-07-10 01:55:00-04:00,2026-07-10 01:59:00-04:00,2026-07-10 02:00:00-04:00,2026-07-10 02:00:00-04:00,5m,True
2026-07-10 02:00:00-04:00,29847.25,29856.75,29839.25,29853.75,801,5,2026-07-10 02:00:00-04:00,2026-07-10 02:04:00-04:00,2026-07-10 02:05:00-04:00,2026-07-10 02:05:00-04:00,5m,True
2026-07-10 02:05:00-04:00,29850.25,29855.0,29830.5,29833.75,791,5,2026-07-10 02:05:00-04:00,2026-07-10 02:09:00-04:00,2026-07-10 02:10:00-04:00,2026-07-10 02:10:00-04:00,5m,True
2026-07-10 02:10:00-04:00,29834.0,29834.25,29820.0,29826.25,748,5,2026-07-10 02:10:00-04:00,2026-07-10 02:14:00-04:00,2026-07-10 02:15:00-04:00,2026-07-10 02:15:00-04:00,5m,True
2026-07-10 02:15:00-04:00,29824.75,29830.75,29811.0,29816.0,870,5,2026-07-10 02:15:00-04:00,2026-07-10 02:19:00-04:00,2026-07-10 02:20:00-04:00,2026-07-10 02:20:00-04:00,5m,True
2026-07-10 02:20:00-04:00,29815.75,29816.25,29781.0,29781.5,1524,5,2026-07-10 02:20:00-04:00,2026-07-10 02:24:00-04:00,2026-07-10 02:25:00-04:00,2026-07-10 02:25:00-04:00,5m,True
2026-07-10 02:25:00-04:00,29782.25,29793.25,29775.25,29789.5,952,5,2026-07-10 02:25:00-04:00,2026-07-10 02:29:00-04:00,2026-07-10 02:30:00-04:00,2026-07-10 02:30:00-04:00,5m,True
2026-07-10 02:30:00-04:00,29788.75,29831.25,29785.5,29811.5,1220,5,2026-07-10 02:30:00-04:00,2026-07-10 02:34:00-04:00,2026-07-10 02:35:00-04:00,2026-07-10 02:35:00-04:00,5m,True
2026-07-10 02:35:00-04:00,29811.25,29815.5,29787.5,29794.5,832,5,2026-07-10 02:35:00-04:00,2026-07-10 02:39:00-04:00,2026-07-10 02:40:00-04:00,2026-07-10 02:40:00-04:00,5m,True
2026-07-10 02:40:00-04:00,29793.0,29820.0,29792.0,29814.75,433,5,2026-07-10 02:40:00-04:00,2026-07-10 02:44:00-04:00,2026-07-10 02:45:00-04:00,2026-07-10 02:45:00-04:00,5m,True
2026-07-10 02:45:00-04:00,29814.0,29822.5,29809.5,29821.5,388,5,2026-07-10 02:45:00-04:00,2026-07-10 02:49:00-04:00,2026-07-10 02:50:00-04:00,2026-07-10 02:50:00-04:00,5m,True
2026-07-10 02:50:00-04:00,29821.0,29832.5,29820.75,29827.0,444,5,2026-07-10 02:50:00-04:00,2026-07-10 02:54:00-04:00,2026-07-10 02:55:00-04:00,2026-07-10 02:55:00-04:00,5m,True
2026-07-10 02:55:00-04:00,29826.0,29830.0,29816.75,29819.5,284,5,2026-07-10 02:55:00-04:00,2026-07-10 02:59:00-04:00,2026-07-10 03:00:00-04:00,2026-07-10 03:00:00-04:00,5m,True
2026-07-10 03:00:00-04:00,29819.25,29822.5,29801.0,29820.75,456,5,2026-07-10 03:00:00-04:00,2026-07-10 03:04:00-04:00,2026-07-10 03:05:00-04:00,2026-07-10 03:05:00-04:00,5m,True
2026-07-10 03:05:00-04:00,29820.75,29827.75,29798.0,29804.0,493,5,2026-07-10 03:05:00-04:00,2026-07-10 03:09:00-04:00,2026-07-10 03:10:00-04:00,2026-07-10 03:10:00-04:00,5m,True
2026-07-10 03:10:00-04:00,29802.5,29814.0,29796.0,29813.25,403,5,2026-07-10 03:10:00-04:00,2026-07-10 03:14:00-04:00,2026-07-10 03:15:00-04:00,2026-07-10 03:15:00-04:00,5m,True
2026-07-10 03:15:00-04:00,29813.0,29825.25,29790.5,29806.0,674,5,2026-07-10 03:15:00-04:00,2026-07-10 03:19:00-04:00,2026-07-10 03:20:00-04:00,2026-07-10 03:20:00-04:00,5m,True
2026-07-10 03:20:00-04:00,29807.0,29816.5,29797.5,29813.25,319,5,2026-07-10 03:20:00-04:00,2026-07-10 03:24:00-04:00,2026-07-10 03:25:00-04:00,2026-07-10 03:25:00-04:00,5m,True
2026-07-10 03:25:00-04:00,29813.0,29820.5,29804.75,29816.0,293,5,2026-07-10 03:25:00-04:00,2026-07-10 03:29:00-04:00,2026-07-10 03:30:00-04:00,2026-07-10 03:30:00-04:00,5m,True
2026-07-10 03:30:00-04:00,29816.0,29819.0,29804.0,29810.0,165,5,2026-07-10 03:30:00-04:00,2026-07-10 03:34:00-04:00,2026-07-10 03:35:00-04:00,2026-07-10 03:35:00-04:00,5m,True
2026-07-10 03:35:00-04:00,29811.0,29811.75,29800.0,29808.75,148,5,2026-07-10 03:35:00-04:00,2026-07-10 03:39:00-04:00,2026-07-10 03:40:00-04:00,2026-07-10 03:40:00-04:00,5m,True
