episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00084,-1,A,5,5,False,rb,RB2-004093,RB2-004093,False,115,29991.75,30005.75,DELAYED_DISPLACEMENT,5,0,EP-00084-ENTRY_ON_TAP|EP-00084-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00084-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00084-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00084-ENTRY_ON_NEW_FVG
EP-00085,1,A,5,5,False,rb,RB2-004092,RB2-004092,False,115,29963.75,29974.5,FAILED_REACTION,1,0,EP-00085-ENTRY_ON_TAP
EP-00086,1,A,1,5,True,rb,RB2-004092,RB2-004092,False,116,29963.75,29974.5,FAILED_REACTION,2,0,EP-00086-ENTRY_ON_TAP|EP-00086-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00087,1,A,1,1,False,rb,RB2-000041,RB2-000041,False,116,29982.0,29984.75,FAILED_REACTION,3,0,EP-00087-ENTRY_ON_TAP|EP-00087-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00087-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00088,-1,B,1,1,False,fvg,FVG2-000006,FVG2-000006,False,117,29989.0,29991.75,DELAYED_DISPLACEMENT,4,0,EP-00088-ENTRY_ON_TAP|EP-00088-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00088-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00088-ENTRY_ON_NEW_FVG
EP-00089,1,A,1,3,True,rb,RB2-003085,RB2-003085,False,117,29964.75,29985.0,FAILED_REACTION,1,0,EP-00089-ENTRY_ON_TAP
EP-00090,1,A,3,3,False,rb,RB2-003085,RB2-003085,False,117,29964.75,29985.0,FAILED_REACTION,1,0,EP-00090-ENTRY_ON_TAP
EP-00091,-1,A,1,1,False,rb,RB2-000042,RB2-000042,False,118,29988.75,29991.75,IMMEDIATE_DISPLACEMENT,6,0,EP-00091-ENTRY_ON_TAP|EP-00091-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00091-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00091-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00091-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00091-ENTRY_ON_NEW_FVG
EP-00092,1,A,1,1,False,rb,RB2-000043,RB2-000043,False,119,29984.25,29989.5,FAILED_REACTION,1,0,EP-00092-ENTRY_ON_TAP
EP-00093,1,A,3,3,False,rb,RB2-003079,RB2-003079,False,120,29926.5,29935.0,DELAYED_DISPLACEMENT,4,0,EP-00093-ENTRY_ON_TAP|EP-00093-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00093-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00093-ENTRY_ON_DELAYED_DISPLACEMENT
