episode_id,variant_id,entry_variant,reaction_state,match_mode,playbook_items,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,entry_ts,entry_price,stop_price,target_surface,target_family,target_tf,natural_rr,rejection_reason
EP-00042,EP-00042-ENTRY_ON_DELAYED_DISPLACEMENT,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:09:00-04:00,29889.75,29905.25,29883.25,rb,1,0.4194,INSUFFICIENT_NATURAL_RR
EP-00043,EP-00043-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:15:00-04:00,29890.25,29904.5,29881.0,rb,3,0.6491,authorized_pattern_but_target_or_rr_family_mismatch
EP-00043,EP-00043-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:15:00-04:00,29890.25,29904.5,29881.0,rb,3,0.6491,authorized_pattern_but_target_or_rr_family_mismatch
EP-00044,EP-00044-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:12:00-04:00,29892.75,29904.5,29883.25,rb,1,0.8085,authorized_pattern_but_target_or_rr_family_mismatch
EP-00044,EP-00044-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:12:00-04:00,29892.75,29904.5,29883.25,rb,1,0.8085,authorized_pattern_but_target_or_rr_family_mismatch
EP-00045,EP-00045-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:11:00-04:00,29894.0,29892.0,,,,,NO_STRUCTURAL_STOP
EP-00047,EP-00047-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:18:00-04:00,29890.25,29884.5,29893.5,rb,3,0.5652,authorized_pattern_but_target_or_rr_family_mismatch
EP-00048,EP-00048-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,5,5,False,2026-07-12 19:20:00-04:00,29890.0,29884.5,29893.5,rb,3,0.6364,authorized_pattern_but_target_or_rr_family_mismatch
EP-00050,EP-00050-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:20:00-04:00,29890.0,29885.5,29893.5,rb,3,0.7778,authorized_pattern_but_target_or_rr_family_mismatch
EP-00051,EP-00051-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:22:00-04:00,29885.25,29880.25,29888.0,ifvg,3,0.55,authorized_pattern_but_target_or_rr_family_mismatch
EP-00052,EP-00052-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:24:00-04:00,29882.0,29880.25,29885.25,rb,1,1.8571,authorized_pattern_but_target_or_rr_family_mismatch
EP-00053,EP-00053-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:23:00-04:00,29877.5,29876.0,29885.25,rb,1,5.1667,authorized_pattern_but_target_or_rr_family_mismatch
EP-00054,EP-00054-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,5,1,True,2026-07-12 19:26:00-04:00,29883.25,29876.0,29885.25,rb,1,0.2759,INSUFFICIENT_NATURAL_RR
EP-00054,EP-00054-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,1,A,GLOBEX_EVENING,5,1,True,2026-07-12 19:29:00-04:00,29889.25,29876.0,29893.5,rb,3,0.3208,INSUFFICIENT_NATURAL_RR
EP-00054,EP-00054-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,PATTERN_NEAR,,1,A,GLOBEX_EVENING,5,1,True,2026-07-12 19:29:00-04:00,29889.25,29876.0,29893.5,rb,3,0.3208,INSUFFICIENT_NATURAL_RR
EP-00055,EP-00055-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,5,5,False,2026-07-12 19:30:00-04:00,29888.25,29876.0,29893.5,rb,3,0.4286,INSUFFICIENT_NATURAL_RR
