episode_id,policy,structure_id,family,timeframe,surface,distance,freshness_bars,availability_seq,natural_rr
EP-00066,BRANCH_SEMANTIC_TARGET,RB2-003142,rb,3,29761.25,4.5,36,240,0.1047
EP-00066,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142,rb,3,29761.25,4.5,36,240,0.1047
EP-00067,NEAREST_VALID_STRUCTURE,RB2-000102,rb,1,29762.75,3.0,18,258,0.2264
EP-00067,BRANCH_SEMANTIC_TARGET,RB2-003142,rb,3,29761.25,4.5,36,240,0.3396
EP-00067,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142,rb,3,29761.25,4.5,36,240,0.3396
EP-00068,NEAREST_VALID_STRUCTURE,RB2-000102,rb,1,29762.75,3.0,18,258,0.1277
EP-00068,BRANCH_SEMANTIC_TARGET,RB2-003142,rb,3,29761.25,4.5,36,240,0.1915
EP-00068,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142,rb,3,29761.25,4.5,36,240,0.1915
EP-00069,NEAREST_VALID_STRUCTURE,RB2-000099,rb,1,29766.0,0.25,31,254,0.0032
EP-00069,BRANCH_SEMANTIC_TARGET,RB2-004813,rb,15,29766.0,0.25,0,285,0.0032
EP-00069,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004813,rb,15,29766.0,0.25,0,285,0.0032
EP-00070,NEAREST_VALID_STRUCTURE,RB2-003149,rb,3,29770.0,3.75,9,276,15.0
EP-00070,BRANCH_SEMANTIC_TARGET,RB2-003149,rb,3,29770.0,3.75,9,276,15.0
EP-00070,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004190,rb,5,29778.25,12.0,5,280,48.0
EP-00072,NEAREST_VALID_STRUCTURE,RB2-003149,rb,3,29770.0,3.75,9,276,0.1875
EP-00072,BRANCH_SEMANTIC_TARGET,RB2-003149,rb,3,29770.0,3.75,9,276,0.1875
EP-00072,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003149,rb,3,29770.0,3.75,9,276,0.1875
EP-00073,NEAREST_VALID_STRUCTURE,RB2-000098,rb,1,29751.75,0.25,38,250,0.0071
EP-00073,BRANCH_SEMANTIC_TARGET,RB2-000092,rb,1,29751.5,0.5,49,239,0.0143
EP-00073,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003141,rb,3,29750.75,1.25,54,234,0.0357
EP-00074,NEAREST_VALID_STRUCTURE,RB2-003149,rb,3,29770.0,1.75,15,276,0.0805
EP-00074,BRANCH_SEMANTIC_TARGET,RB2-003149,rb,3,29770.0,1.75,15,276,0.0805
EP-00074,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003149,rb,3,29770.0,1.75,15,276,0.0805
EP-00075,NEAREST_VALID_STRUCTURE,RB2-000092,rb,1,29751.5,0.25,54,239,0.0208
EP-00075,BRANCH_SEMANTIC_TARGET,RB2-000092,rb,1,29751.5,0.25,54,239,0.0208
EP-00075,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000092,rb,1,29751.5,0.25,54,239,0.0208
