variant_id,episode_id,lane,entry_variant,reaction_state,direction,context_tf,interaction_tf,reaction_tf,confirmation_tf,trigger_tf,is_multi_timeframe,session,day_of_week,context_family,confluence,rb_activation_class,interaction_to_trigger_delay_bin,target_family,target_tf,natural_rr_bin
EP-00036-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00036,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
EP-00036-ENTRY_ON_STRONG_REJECTION,EP-00036,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0
EP-00036-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00036,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
EP-00037-ENTRY_ON_TAP,EP-00037,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,none,none,na
EP-00037-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00037,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
EP-00037-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00037,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
EP-00037-ENTRY_ON_STRONG_REJECTION,EP-00037,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0
EP-00037-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00037,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
EP-00038-ENTRY_ON_TAP,EP-00038,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,2.0-1000000000.0
EP-00038-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00038,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,2-4,rb,1,0-0.5
EP-00038-ENTRY_ON_STRONG_REJECTION,EP-00038,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,1.0-2.0
EP-00039-ENTRY_ON_IFVG_RETEST,EP-00039,F,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,0-1,rb,1,2.0-1000000000.0
EP-00039-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00039,F,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,2-4,rb,1,2.0-1000000000.0
EP-00039-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00039,F,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,ifvg,True,NA,2-4,rb,1,2.0-1000000000.0
EP-00040-ENTRY_ON_IFVG_RETEST,EP-00040,C,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,ifvg,False,NA,0-1,rb,1,2.0-1000000000.0
EP-00041-ENTRY_ON_TAP,EP-00041,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,1.0-2.0
EP-00041-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00041,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,2.0-1000000000.0
