episode_id,role,structure_id
EP-00096,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004206
EP-00097,context/component,IFVG2-000419
EP-00097,target:NEAREST_VALID_STRUCTURE,RB2-000128
EP-00097,target:BRANCH_SEMANTIC_TARGET,RB2-000131
EP-00097,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004206
EP-00098,context/component,FVG2-000044
EP-00098,target:NEAREST_VALID_STRUCTURE,RB2-000128
EP-00098,target:BRANCH_SEMANTIC_TARGET,RB2-000131
EP-00098,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000131
EP-00099,context/component,IFVG2-000013
EP-00099,target:NEAREST_VALID_STRUCTURE,FVG2-000041
EP-00099,target:BRANCH_SEMANTIC_TARGET,FVG2-000041
EP-00099,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000041
EP-00100,context/component,RB2-003176
EP-00100,target:NEAREST_VALID_STRUCTURE,RB2-000157
EP-00100,target:BRANCH_SEMANTIC_TARGET,RB2-000157
EP-00100,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003178
EP-00101,context/component,FVG2-000041
EP-00101,target:NEAREST_VALID_STRUCTURE,RB2-003168
EP-00101,target:BRANCH_SEMANTIC_TARGET,RB2-003168
EP-00101,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003168
EP-00102,context/component,IFVG2-000014
EP-00102,target:NEAREST_VALID_STRUCTURE,RB2-000163
EP-00102,target:BRANCH_SEMANTIC_TARGET,RB2-000162
EP-00102,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000162
EP-00103,context/component,IFVG2-000015
EP-00103,target:NEAREST_VALID_STRUCTURE,RB2-000163
EP-00103,target:BRANCH_SEMANTIC_TARGET,RB2-000162
EP-00103,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000162
EP-00104,context/component,IFVG2-000420
EP-00104,target:NEAREST_VALID_STRUCTURE,FVG2-000040
EP-00104,target:BRANCH_SEMANTIC_TARGET,RB2-003170
EP-00104,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003170
EP-00105,context/component,IFVG2-000016
EP-00105,target:NEAREST_VALID_STRUCTURE,FVG2-000040
EP-00105,target:BRANCH_SEMANTIC_TARGET,RB2-003170
EP-00105,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003170
EP-00106,context/component,IFVG2-000016
EP-00106,context/component,RB2-000185
EP-00106,target:NEAREST_VALID_STRUCTURE,RB2-000186
EP-00106,target:BRANCH_SEMANTIC_TARGET,RB2-000186
EP-00106,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000186
EP-00107,context/component,IFVG2-000421
EP-00108,context/component,IFVG2-000552
EP-00108,target:NEAREST_VALID_STRUCTURE,RB2-003180
EP-00108,target:BRANCH_SEMANTIC_TARGET,RB2-003180
EP-00108,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004207
EP-00109,context/component,RB2-000189
EP-00109,target:NEAREST_VALID_STRUCTURE,RB2-003180
EP-00109,target:BRANCH_SEMANTIC_TARGET,RB2-003180
EP-00109,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003180
EP-00110,context/component,RB2-000191
EP-00110,target:NEAREST_VALID_STRUCTURE,RB2-000192
EP-00110,target:BRANCH_SEMANTIC_TARGET,RB2-000192
EP-00110,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000192
EP-00111,context/component,RB2-000192
EP-00111,target:NEAREST_VALID_STRUCTURE,RB2-000190
EP-00111,target:BRANCH_SEMANTIC_TARGET,FVG2-000820
