trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00019,component,RB2-003073,rb,3,1,29958.0,29966.25,2026-07-05 18:45:00-04:00,45,True
TRIG-00019,target,RB2-000014,rb,1,1,29965.5,29968.75,2026-07-05 18:44:00-04:00,45,True
TRIG-00020,component,RB2-003074,rb,3,-1,29975.0,29979.0,2026-07-05 18:48:00-04:00,48,True
TRIG-00020,target,RB2-000011,rb,1,1,29959.25,29961.75,2026-07-05 18:38:00-04:00,39,True
TRIG-00021,component,RB2-000018,rb,1,1,29960.25,29964.75,2026-07-05 18:50:00-04:00,51,True
TRIG-00021,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00022,component,RB2-000019,rb,1,-1,29963.5,29967.5,2026-07-05 18:51:00-04:00,52,True
TRIG-00022,target,RB2-000020,rb,1,1,29954.0,29957.75,2026-07-05 18:52:00-04:00,53,True
TRIG-00023,component,RB2-000020,rb,1,1,29954.0,29957.75,2026-07-05 18:52:00-04:00,53,True
TRIG-00023,target,RB2-000021,rb,1,-1,29958.0,29961.5,2026-07-05 18:53:00-04:00,54,True
TRIG-00024,component,RB2-000021,rb,1,-1,29958.0,29961.5,2026-07-05 18:53:00-04:00,54,True
TRIG-00024,target,RB2-000020,rb,1,1,29954.0,29957.75,2026-07-05 18:52:00-04:00,53,True
TRIG-00025,component,RB2-000022,rb,1,1,29946.75,29952.0,2026-07-05 18:55:00-04:00,56,True
TRIG-00025,target,RB2-000009,rb,1,-1,29952.25,29957.0,2026-07-05 18:34:00-04:00,35,True
TRIG-00026,component,RB2-000024,rb,1,1,29941.5,29946.0,2026-07-05 18:58:00-04:00,59,True
TRIG-00026,target,RB2-000022,rb,1,1,29946.75,29952.0,2026-07-05 18:55:00-04:00,56,True
TRIG-00027,component,RB2-000023,rb,1,-1,29949.25,29950.5,2026-07-05 18:57:00-04:00,58,True
TRIG-00027,target,RB2-000024,rb,1,1,29941.5,29946.0,2026-07-05 18:58:00-04:00,59,True
TRIG-00028,component,IFVG2-000388,ifvg,3,1,29950.5,29954.0,2026-07-05 19:03:00-04:00,63,True
TRIG-00028,component,FVG2-000748,fvg,3,-1,29950.5,29954.0,2026-07-05 19:00:00-04:00,60,True
TRIG-00028,target,RB2-000021,rb,1,-1,29958.0,29961.5,2026-07-05 18:53:00-04:00,54,True
TRIG-00029,component,RB2-003076,rb,3,-1,29957.25,29962.5,2026-07-05 18:57:00-04:00,57,True
TRIG-00029,target,RB2-000009,rb,1,-1,29952.25,29957.0,2026-07-05 18:34:00-04:00,35,True
TRIG-00030,component,RB2-003077,rb,3,1,29941.5,29946.0,2026-07-05 19:00:00-04:00,60,True
TRIG-00030,target,RB2-000021,rb,1,-1,29958.0,29961.5,2026-07-05 18:53:00-04:00,54,True
TRIG-00031,component,RB2-000025,rb,1,-1,29953.5,29955.5,2026-07-05 19:01:00-04:00,62,True
TRIG-00031,target,RB2-000009,rb,1,-1,29952.25,29957.0,2026-07-05 18:34:00-04:00,35,True
TRIG-00032,component,RB2-000026,rb,1,-1,29956.75,29961.25,2026-07-05 19:02:00-04:00,63,True
TRIG-00032,target,RB2-000023,rb,1,-1,29949.25,29950.5,2026-07-05 18:57:00-04:00,58,True
TRIG-00033,component,RB2-000027,rb,1,1,29949.25,29952.0,2026-07-05 19:03:00-04:00,64,True
TRIG-00033,target,RB2-000025,rb,1,-1,29953.5,29955.5,2026-07-05 19:01:00-04:00,62,True
TRIG-00034,component,RB2-000028,rb,1,1,29945.0,29949.25,2026-07-05 19:06:00-04:00,67,True
TRIG-00034,target,FVG2-000002,fvg,1,1,29949.25,29952.5,2026-07-05 19:02:00-04:00,63,True
TRIG-00035,component,RB2-003078,rb,3,1,29943.25,29954.25,2026-07-05 19:06:00-04:00,66,True
TRIG-00035,target,FVG2-000748,fvg,3,-1,29950.5,29954.0,2026-07-05 19:00:00-04:00,60,True
TRIG-00036,component,IFVG2-000001,ifvg,1,1,29968.25,29970.25,2026-07-05 19:12:00-04:00,73,True
TRIG-00036,component,FVG2-000001,fvg,1,-1,29968.25,29970.25,2026-07-05 18:50:00-04:00,51,True
TRIG-00037,component,RB2-000029,rb,1,-1,29950.25,29954.25,2026-07-05 19:09:00-04:00,70,True
TRIG-00037,target,RB2-000016,rb,1,-1,29975.5,29979.0,2026-07-05 18:47:00-04:00,48,True
TRIG-00038,component,RB2-000030,rb,1,-1,29935.0,29936.5,2026-07-05 19:11:00-04:00,72,True
TRIG-00038,target,RB2-000016,rb,1,-1,29975.5,29979.0,2026-07-05 18:47:00-04:00,48,True
TRIG-00039,component,RB2-003075,rb,3,-1,29963.0,29967.5,2026-07-05 18:54:00-04:00,54,True
