trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00076,component,RB2-003088,rb,3,-1,29958.75,29971.5,2026-07-05 20:12:00-04:00,132,True
TRIG-00076,target,RB2-000032,rb,1,1,29968.0,29981.0,2026-07-05 19:14:00-04:00,75,True
TRIG-00077,component,IFVG2-000003,ifvg,1,1,29989.0,29991.75,2026-07-05 20:15:00-04:00,136,True
TRIG-00077,component,FVG2-000006,fvg,1,-1,29989.0,29991.75,2026-07-05 19:56:00-04:00,117,True
TRIG-00077,target,RB2-000036,rb,1,1,30002.0,30004.25,2026-07-05 19:32:00-04:00,93,True
TRIG-00078,component,IFVG2-000004,ifvg,1,1,29948.5,29983.25,2026-07-05 20:15:00-04:00,136,True
TRIG-00078,component,FVG2-000007,fvg,1,-1,29948.5,29983.25,2026-07-05 20:01:00-04:00,122,True
TRIG-00078,target,RB2-000036,rb,1,1,30002.0,30004.25,2026-07-05 19:32:00-04:00,93,True
TRIG-00079,component,RB2-000054,rb,1,1,29994.25,29997.5,2026-07-05 20:16:00-04:00,137,True
TRIG-00079,target,RB2-000039,rb,1,1,29993.75,29998.5,2026-07-05 19:51:00-04:00,112,True
TRIG-00080,component,RB2-000053,rb,1,1,29978.25,29982.5,2026-07-05 20:15:00-04:00,136,True
TRIG-00080,target,FVG2-000005,fvg,1,-1,29988.0,29999.5,2026-07-05 19:37:00-04:00,98,True
TRIG-00081,component,RB2-000052,rb,1,1,29967.25,29973.25,2026-07-05 20:14:00-04:00,135,True
TRIG-00081,target,RB2-003083,rb,3,1,29980.0,29986.25,2026-07-05 19:39:00-04:00,99,True
TRIG-00082,component,IFVG2-000005,ifvg,1,-1,29964.5,29967.25,2026-07-05 20:22:00-04:00,143,True
TRIG-00082,component,FVG2-000009,fvg,1,1,29964.5,29967.25,2026-07-05 20:14:00-04:00,135,True
TRIG-00082,target,RB2-000048,rb,1,-1,29955.75,29962.75,2026-07-05 20:08:00-04:00,129,True
TRIG-00083,component,RB2-003089,rb,3,1,29972.0,29980.75,2026-07-05 20:21:00-04:00,141,True
