variant_id,episode_id,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,match_mode,cross_lookback,match_prev_1_session,match_prev_3_sessions,match_prev_10_sessions,match_prev_20_sessions,entry_price,effective_stop_price,target_price,exit_type,points,gross_r,mfe_points,mae_points,success
EP-46717-ENTRY_ON_TAP,EP-46717,ENTRY_ON_TAP,TAP_ONLY,1,A,NY_AM,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29798.25,29772.6439,29874.0,STOP,-25.6061,-1.0,14.5,-41.25,False
EP-46724-ENTRY_ON_TAP,EP-46724,ENTRY_ON_TAP,TAP_ONLY,1,A,NY_AM,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29758.0,29732.1252,29798.25,TARGET,40.25,1.5556,43.75,-1.0,True
EP-46725-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-46725,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,NY_AM,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29769.75,29796.3729,29606.75,STOP,-26.6229,-1.0,3.75,-32.0,False
EP-46761-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46761,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,C,NY_AM,3,3,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29702.25,29822.25,29606.75,TARGET,95.5,0.7958,104.75,-34.5,True
EP-46768-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46768,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,F,NY_AM,5,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29702.25,29822.25,29606.75,TARGET,95.5,0.7958,104.75,-34.5,True
EP-46771-ENTRY_ON_TAP,EP-46771,ENTRY_ON_TAP,TAP_ONLY,1,A,NY_AM,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29751.0,29721.5571,29799.25,STOP,-29.4429,-1.0,0.0,-56.0,False
EP-47545-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47545,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29596.75,29616.75,29425.25,STOP,-20.0,-1.0,3.25,-24.0,False
EP-47549-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47549,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29596.75,29621.0,29425.25,STOP,-24.25,-1.0,3.25,-37.25,False
EP-47550-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47550,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29596.75,29618.0,29425.25,STOP,-21.25,-1.0,3.25,-24.0,False
EP-47550-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-47550,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29596.75,29618.0,29425.25,STOP,-21.25,-1.0,3.25,-24.0,False
EP-47994-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47994,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,C,LONDON,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29604.25,29617.0,29425.25,STOP,-12.75,-1.0,125.5,-15.75,False
EP-47994-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47994,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,C,LONDON,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29604.25,29617.0,29425.25,STOP,-12.75,-1.0,125.5,-15.75,False
EP-47995-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47995,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,B,LONDON,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29604.25,29620.0,29425.25,STOP,-15.75,-1.0,125.5,-15.75,False
EP-48001-ENTRY_ON_TAP,EP-48001,ENTRY_ON_TAP,TAP_ONLY,-1,A,LONDON,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29592.75,29604.75,29425.25,STOP,-12.0,-1.0,114.0,-27.25,False
EP-48001-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48001,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,LONDON,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29583.75,29604.75,29425.25,STOP,-21.0,-1.0,105.0,-36.25,False
