id,family,subtype,segment_id,created_seq,created_ts,lo,hi,events
FVG-000086,fvg,bullish,0,352,2025-07-07 03:52:00+00:00,22970.25,22971.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|REVISIT|MIDPOINT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000087,fvg,bullish,0,359,2025-07-07 03:59:00+00:00,22972.75,22973.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000088,fvg,bullish,0,362,2025-07-07 04:02:00+00:00,22975.0,22976.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000089,fvg,bearish,0,366,2025-07-07 04:06:00+00:00,22979.25,22980.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000090,fvg,bullish,0,368,2025-07-07 04:08:00+00:00,22979.25,22981.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000091,fvg,bearish,0,372,2025-07-07 04:12:00+00:00,22977.25,22980.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000092,fvg,bearish,0,373,2025-07-07 04:13:00+00:00,22974.5,22977.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000093,fvg,bearish,0,385,2025-07-07 04:25:00+00:00,22967.0,22967.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000094,fvg,bearish,0,393,2025-07-07 04:33:00+00:00,22963.0,22965.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000095,fvg,bearish,0,395,2025-07-07 04:35:00+00:00,22961.0,22961.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000096,fvg,bearish,0,396,2025-07-07 04:36:00+00:00,22959.25,22960.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000097,fvg,bearish,0,397,2025-07-07 04:37:00+00:00,22953.75,22957.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000098,fvg,bearish,0,403,2025-07-07 04:43:00+00:00,22950.0,22951.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000099,fvg,bearish,0,426,2025-07-07 05:06:00+00:00,22944.5,22946.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000100,fvg,bearish,0,427,2025-07-07 05:07:00+00:00,22939.0,22943.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000101,fvg,bullish,0,432,2025-07-07 05:12:00+00:00,22939.0,22940.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000102,fvg,bearish,0,448,2025-07-07 05:28:00+00:00,22937.0,22938.25,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|FAILURE
