candidate_id,episode_id,branch_id,branch_state,direction,entry_mode,continuation_or_fade,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,effective_sample,unique_sessions,shrunk_expected_R,uncertainty,qualification,outcome
SETUP-034530,EP-033348,BR-003266,FADE,short,formation_close,fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4459,23004.25,23005.5,23003.5,0.6,0.6,6,6,-0.106,0.3483,RECORDED_NOT_ACTIVATED,WIN
SETUP-034559,EP-033349,BR-003267,FADE,short,formation_close,fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4459,23004.25,23005.5,23003.5,0.6,0.6,6,6,-0.106,0.3483,RECORDED_NOT_ACTIVATED,WIN
SETUP-004829,EP-033350,BR-003268,FADE,short,formation_close,fade,HL_0930_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,3,3,-0.0211,0.4857,RECORDED_NOT_ACTIVATED,WIN
SETUP-033049,EP-033351,BR-003269,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.0606,0.3501,RECORDED_NOT_ACTIVATED,WIN
SETUP-033667,EP-033352,BR-003270,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.0518,0.3501,RECORDED_NOT_ACTIVATED,WIN
SETUP-033703,EP-033353,BR-003271,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.0518,0.3501,RECORDED_NOT_ACTIVATED,WIN
SETUP-033884,EP-033354,BR-003272,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.054,0.3501,RECORDED_NOT_ACTIVATED,WIN
SETUP-034531,EP-033355,BR-003273,FADE,short,formation_close,fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.1072,0.3483,RECORDED_NOT_ACTIVATED,WIN
SETUP-034560,EP-033356,BR-003274,FADE,short,formation_close,fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4460,23003.5,23005.75,23001.75,0.7778,0.7778,6,6,-0.1072,0.3483,RECORDED_NOT_ACTIVATED,WIN
SETUP-029754,EP-033359,BR-003275,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4463,23001.5,22999.25,23003.5,0.8889,0.8889,6,6,-0.1091,0.3492,RECORDED_NOT_ACTIVATED,LOSS
SETUP-030012,EP-033360,BR-003276,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4463,23001.5,22999.25,23003.5,0.8889,0.8889,6,6,-0.1091,0.3492,RECORDED_NOT_ACTIVATED,LOSS
SETUP-030226,EP-033361,BR-003277,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4463,23001.5,22999.25,23003.5,0.8889,0.8889,6,6,-0.0457,0.348,RECORDED_NOT_ACTIVATED,LOSS
SETUP-033411,EP-033362,BR-003278,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4463,23001.5,22999.25,23003.5,0.8889,0.8889,6,6,-0.0518,0.348,RECORDED_NOT_ACTIVATED,LOSS
SETUP-043910,EP-033334,BR-003279,CONTINUATION,long,retest,continuation,BULLISH_FVG_FORMED -> RETEST_LONG_TRIGGER,GAP_FORMATION -> ENTRY_TRIGGER,4463,22999.75,22998.25,23000.5,0.5,0.5,1,1,-0.0477,1.0,RECORDED_NOT_ACTIVATED,WIN
SETUP-030048,EP-033364,BR-003280,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4464,22999.5,22998.25,23000.5,0.8,0.8,6,6,-0.1182,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-033503,EP-033386,BR-003281,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4471,22997.25,22996.25,22997.75,0.5,0.5,6,6,-0.069,0.348,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-034498,EP-033397,BR-003282,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4474,22994.5,22996.25,22993.25,0.7143,0.7143,6,6,-0.0664,0.3501,RECORDED_NOT_ACTIVATED,LOSS
