branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-011987,GEP-002676,H_fvg_midpoint,EXPIRED,inactive,1
GBR-011988,GEP-002676,H_fvg_full_fill,EXPIRED,inactive,1
GBR-011990,GEP-002677,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011992,GEP-002678,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011995,GEP-002679,H_ifvg_retest,EXPIRED,inactive,3
GBR-012000,GEP-002598,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012003,GEP-002605,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012009,GEP-002606,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012013,GEP-002680,H_ifvg_retest,EXPIRED,inactive,3
GBR-012020,GEP-002681,H_fvg_first_touch,EXPIRED,inactive,1
GBR-012021,GEP-002681,H_fvg_first_fill,EXPIRED,inactive,1
GBR-012022,GEP-002681,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012023,GEP-002681,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012029,GEP-002683,H_ifvg_retest,EXPIRED,inactive,3
GBR-012032,GEP-002684,H_ifvg_retest,EXPIRED,inactive,3
GBR-012039,GEP-002685,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012101,GEP-002697,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012112,GEP-002701,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012116,GEP-002702,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012117,GEP-002702,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012118,GEP-002702,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012119,GEP-002702,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012121,GEP-002701,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012124,GEP-002703,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012135,GEP-002707,H_rb_unresolved_fade,UNRESOLVED,expiry,2
GBR-012142,GEP-002709,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012145,GEP-002710,H_rb_unresolved_fade,UNRESOLVED,expiry,2
GBR-012151,GEP-002713,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012154,GEP-002714,H_ifvg_retest,EXPIRED,expiry,3
GBR-012158,GEP-002715,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012159,GEP-002715,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012160,GEP-002715,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012161,GEP-002715,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012164,GEP-002716,H_ifvg_retest,EXPIRED,expiry,3
GBR-012171,GEP-002717,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012303,GEP-002741,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012305,GEP-002742,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012316,GEP-002747,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012335,GEP-002750,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012337,GEP-002751,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012353,GEP-002757,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012358,GEP-002759,H_rb_unresolved_fade,UNRESOLVED,expiry,2
GBR-012363,GEP-002761,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012365,GEP-002762,H_liquidity_break_failed_fade,EXPIRED,expiry,1
