instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,-0.25,2,0.6666666666666666,7.625,30.0,20.0,35.0,20.125,0.7156862745098039,0.002793296089385475,89.5,34.82142857142857,2026-07-09 02:10:00-04:00,0.0071794871794871795,2.5702564102564103,False,6,107267
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,0.25,1,0.3333333333333333,15.0,30.0,20.0,35.0,20.125,0.28431372549019607,0.002793296089385475,89.5,34.82142857142857,2026-07-09 02:10:00-04:00,0.0071794871794871795,2.5702564102564103,False,6,107267
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 02:15:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,21.75,1,1.0,21.75,80.0,75.0,80.0,,0.6546762589928058,0.6258992805755396,34.75,34.107142857142854,2026-07-09 02:15:00-04:00,0.6376963350785341,1.018848167539267,False,6,107268
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 02:15:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,-21.75,0,0.0,0.0,80.0,75.0,80.0,,0.34532374100719426,0.6258992805755396,34.75,34.107142857142854,2026-07-09 02:15:00-04:00,0.6376963350785341,1.018848167539267,False,6,107268
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,26.75,2,1.0,14.75,55.0,47.5,57.5,11.0,0.6546762589928058,0.44398340248962653,60.25,34.107142857142854,2026-07-09 02:15:00-04:00,0.7842931937172776,1.7664921465968588,False,6,107268
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,-26.75,0,0.0,0.0,55.0,47.5,57.5,11.0,0.34532374100719426,0.44398340248962653,60.25,34.107142857142854,2026-07-09 02:15:00-04:00,0.7842931937172776,1.7664921465968588,False,6,107268
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,36.75,3,1.0,7.75,30.0,20.0,35.0,15.75,0.6546762589928058,0.38082901554404147,96.5,34.107142857142854,2026-07-09 02:15:00-04:00,1.0774869109947645,2.829319371727749,False,6,107268
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,-36.75,0,0.0,0.0,30.0,20.0,35.0,15.75,0.34532374100719426,0.38082901554404147,96.5,34.107142857142854,2026-07-09 02:15:00-04:00,1.0774869109947645,2.829319371727749,False,6,107268
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 02:20:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,12.0,1,1.0,12.0,30.0,40.0,50.0,,0.8543689320388349,0.46601941747572817,25.75,34.642857142857146,2026-07-09 02:20:00-04:00,0.3463917525773196,0.7432989690721649,False,6,107269
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 02:20:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,-12.0,0,0.0,0.0,30.0,40.0,50.0,,0.14563106796116504,0.46601941747572817,25.75,34.642857142857146,2026-07-09 02:20:00-04:00,0.3463917525773196,0.7432989690721649,False,6,107269
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,33.0,2,1.0,16.875,55.0,57.5,65.0,22.75,0.8543689320388349,0.5454545454545454,60.5,34.642857142857146,2026-07-09 02:20:00-04:00,0.9525773195876288,1.7463917525773194,False,6,107269
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 02:15:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,-33.0,0,0.0,0.0,55.0,57.5,65.0,22.75,0.14563106796116504,0.5454545454545454,60.5,34.642857142857146,2026-07-09 02:20:00-04:00,0.9525773195876288,1.7463917525773194,False,6,107269
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,38.0,3,1.0,12.0,30.0,40.0,50.0,16.875,0.8543689320388349,0.4418604651162791,86.0,34.642857142857146,2026-07-09 02:20:00-04:00,1.0969072164948452,2.4824742268041233,True,6,107269
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:20:00-04:00,2026-07-09 02:25:00-04:00,-38.0,0,0.0,0.0,30.0,40.0,50.0,16.875,0.14563106796116504,0.4418604651162791,86.0,34.642857142857146,2026-07-09 02:20:00-04:00,1.0969072164948452,2.4824742268041233,False,6,107269
