instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,1h,bull,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-06 21:00:00-04:00,29808.25,29816.75,29808.25,29816.75,8.5,63.25,34.25,106.0,0.24817518248175183,0.08018867924528301,20.0,10.0,,2026-07-06 22:00:00-04:00,2026-07-06 22:00:00-04:00,2026-07-06 22:00:00-04:00,,body_overlap,2026-07-06 22:00:00-04:00,False,False,25,True,8439
NQ,1h,bear,phase1-v1.0.0,2026-07-06 21:00:00-04:00,2026-07-06 22:00:00-04:00,29819.75,29835.75,29835.75,29819.75,16.0,56.5,46.75,119.25,0.3422459893048128,0.13417190775681342,30.0,45.0,,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,,body_overlap,2026-07-09 10:00:00-04:00,False,False,25,True,8440
NQ,1h,bull,phase1-v1.0.0,2026-07-06 21:00:00-04:00,2026-07-06 22:00:00-04:00,29716.5,29773.0,29716.5,29773.0,56.5,16.0,46.75,119.25,1.2085561497326203,0.47379454926624737,90.0,85.0,,2026-07-06 23:00:00-04:00,2026-07-06 23:00:00-04:00,,,body_overlap,2026-07-06 23:00:00-04:00,False,False,25,True,8440
NQ,1h,bear,phase1-v1.0.0,2026-07-06 22:00:00-04:00,2026-07-06 23:00:00-04:00,29774.25,29819.25,29819.25,29774.25,45.0,9.25,26.25,80.5,1.7142857142857142,0.5590062111801242,70.0,80.0,,2026-07-07 00:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,,body_overlap,2026-07-09 10:00:00-04:00,False,False,25,True,8441
NQ,1h,bull,phase1-v1.0.0,2026-07-06 22:00:00-04:00,2026-07-06 23:00:00-04:00,29738.75,29748.0,29738.75,29748.0,9.25,45.0,26.25,80.5,0.3523809523809524,0.11490683229813664,40.0,20.0,,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,,body_overlap,2026-07-07 00:00:00-04:00,False,False,25,True,8441
NQ,1h,bear,phase1-v1.0.0,2026-07-06 23:00:00-04:00,2026-07-07 00:00:00-04:00,29748.0,29784.75,29784.75,29748.0,36.75,40.0,79.75,156.5,0.4608150470219436,0.23482428115015974,60.0,70.0,,2026-07-09 09:00:00-04:00,,2026-07-09 09:00:00-04:00,,wick_traversal_beyond_far,2026-07-09 09:00:00-04:00,False,False,25,True,8442
NQ,1h,bull,phase1-v1.0.0,2026-07-06 23:00:00-04:00,2026-07-07 00:00:00-04:00,29628.25,29668.25,29628.25,29668.25,40.0,36.75,79.75,156.5,0.5015673981191222,0.25559105431309903,90.0,75.0,,2026-07-07 01:00:00-04:00,2026-07-07 01:00:00-04:00,2026-07-07 01:00:00-04:00,,body_overlap,2026-07-07 01:00:00-04:00,False,False,25,True,8442
NQ,1h,bear,phase1-v1.0.0,2026-07-07 00:00:00-04:00,2026-07-07 01:00:00-04:00,29670.0,29680.0,29680.0,29670.0,10.0,18.0,44.5,72.5,0.2247191011235955,0.13793103448275862,0.0,15.0,,2026-07-07 02:00:00-04:00,2026-07-07 02:00:00-04:00,2026-07-07 02:00:00-04:00,,body_overlap,2026-07-07 02:00:00-04:00,False,False,25,True,8443
NQ,1h,bull,phase1-v1.0.0,2026-07-07 00:00:00-04:00,2026-07-07 01:00:00-04:00,29607.5,29625.5,29607.5,29625.5,18.0,10.0,44.5,72.5,0.4044943820224719,0.2482758620689655,70.0,45.0,,2026-07-07 02:00:00-04:00,,2026-07-07 02:00:00-04:00,,wick_traversal_beyond_far,2026-07-07 02:00:00-04:00,False,False,25,True,8443
NQ,1h,bear,phase1-v1.0.0,2026-07-07 01:00:00-04:00,2026-07-07 02:00:00-04:00,29689.75,29704.5,29704.5,29689.75,14.75,67.75,63.5,146.0,0.23228346456692914,0.10102739726027397,30.0,35.0,,2026-07-07 03:00:00-04:00,,2026-07-07 04:00:00-04:00,,wick_traversal_beyond_far,2026-07-07 04:00:00-04:00,False,False,25,True,8444
