instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,4h,bull,phase1-v1.0.0,2026-07-07 20:00:00-04:00,2026-07-08 00:00:00-04:00,29266.0,29300.0,29266.0,29300.0,34.0,91.75,167.0,292.75,0.20359281437125748,0.1161400512382579,240.80357142857142,2026-07-07 20:00:00-04:00,0.6935113088616982,1.2157211716722285,0.14119391916944754,10.0,20.0,20.0,2026-07-08 04:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 08:00:00-04:00,,body_overlap,2026-07-08 08:00:00-04:00,False,False,6,True,2425
NQ,4h,bear,phase1-v1.0.0,2026-07-08 00:00:00-04:00,2026-07-08 04:00:00-04:00,29470.0,29473.5,29473.5,29470.0,3.5,100.0,89.0,192.5,0.03932584269662921,0.01818181818181818,236.01785714285714,2026-07-08 00:00:00-04:00,0.377090111220398,0.8156162517969282,0.014829386396307785,0.0,0.0,2.5,2026-07-08 16:00:00-04:00,,2026-07-08 16:00:00-04:00,,wick_traversal_beyond_far,2026-07-08 16:00:00-04:00,False,False,6,True,2426
NQ,4h,bull,phase1-v1.0.0,2026-07-08 00:00:00-04:00,2026-07-08 04:00:00-04:00,29281.0,29381.0,29281.0,29381.0,100.0,3.5,89.0,192.5,1.1235955056179776,0.5194805194805194,236.01785714285714,2026-07-08 00:00:00-04:00,0.377090111220398,0.8156162517969282,0.42369675418022246,70.0,80.0,67.5,2026-07-08 08:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 08:00:00-04:00,,body_overlap,2026-07-08 08:00:00-04:00,False,False,6,True,2426
NQ,4h,bear,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 08:00:00-04:00,29383.0,29414.75,29414.75,29383.0,31.75,179.5,293.75,505.0,0.10808510638297872,0.06287128712871287,231.67857142857142,2026-07-08 04:00:00-04:00,1.26792045629721,2.179744103591799,0.13704331740403886,30.0,40.0,40.0,2026-07-08 12:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,,body_overlap,2026-07-08 16:00:00-04:00,False,False,6,True,2427
NQ,4h,bull,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 08:00:00-04:00,28909.75,29089.25,28909.75,29089.25,179.5,31.75,293.75,505.0,0.6110638297872341,0.35544554455445543,231.67857142857142,2026-07-08 04:00:00-04:00,1.26792045629721,2.179744103591799,0.7747803298905503,100.0,95.0,90.0,2026-07-08 12:00:00-04:00,2026-07-08 12:00:00-04:00,,,body_overlap,2026-07-08 12:00:00-04:00,False,False,6,True,2427
NQ,4h,bear,phase1-v1.0.0,2026-07-08 08:00:00-04:00,2026-07-08 12:00:00-04:00,29096.25,29399.0,29399.0,29096.25,302.75,54.0,8.25,365.0,36.696969696969695,0.8294520547945206,258.89285714285717,2026-07-08 08:00:00-04:00,0.03186646433990895,1.4098496344323355,1.1694026762312042,100.0,100.0,100.0,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,,body_overlap,2026-07-08 16:00:00-04:00,False,False,6,True,2428
NQ,4h,bull,phase1-v1.0.0,2026-07-08 08:00:00-04:00,2026-07-08 12:00:00-04:00,29034.0,29088.0,29034.0,29088.0,54.0,302.75,8.25,365.0,6.545454545454546,0.14794520547945206,258.89285714285717,2026-07-08 08:00:00-04:00,0.03186646433990895,1.4098496344323355,0.2085804938612222,30.0,35.0,37.5,,,,,,,True,True,6,True,2428
NQ,4h,bear,phase1-v1.0.0,2026-07-08 12:00:00-04:00,2026-07-08 16:00:00-04:00,29457.5,29500.0,29500.0,29457.5,42.5,4.5,360.25,407.25,0.1179736294240111,0.1043585021485574,279.26785714285717,2026-07-08 12:00:00-04:00,1.2899801777607263,1.4582773834644158,0.1521836434554639,30.0,50.0,57.5,2026-07-08 20:00:00-04:00,2026-07-08 20:00:00-04:00,2026-07-08 20:00:00-04:00,,body_overlap,2026-07-08 20:00:00-04:00,False,False,6,True,2429
NQ,4h,bull,phase1-v1.0.0,2026-07-08 12:00:00-04:00,2026-07-08 16:00:00-04:00,29092.75,29097.25,29092.75,29097.25,4.5,42.5,360.25,407.25,0.012491325468424705,0.011049723756906077,279.26785714285717,2026-07-08 12:00:00-04:00,1.2899801777607263,1.4582773834644158,0.016113562248225587,0.0,0.0,0.0,,,,,,,True,True,6,True,2429
NQ,4h,bear,phase1-v1.0.0,2026-07-08 16:00:00-04:00,2026-07-08 20:00:00-04:00,29491.25,29503.25,29503.25,29491.25,12.0,103.75,34.25,150.0,0.35036496350364965,0.08,285.375,2026-07-08 16:00:00-04:00,0.12001752080595707,0.5256241787122208,0.04204993429697766,10.0,20.0,17.5,2026-07-09 00:00:00-04:00,2026-07-09 00:00:00-04:00,2026-07-09 00:00:00-04:00,,body_overlap,2026-07-09 00:00:00-04:00,False,False,6,False,2430
NQ,4h,bull,phase1-v1.0.0,2026-07-08 16:00:00-04:00,2026-07-08 20:00:00-04:00,29353.25,29457.0,29353.25,29457.0,103.75,12.0,34.25,150.0,3.0291970802919708,0.6916666666666667,285.375,2026-07-08 16:00:00-04:00,0.12001752080595707,0.5256241787122208,0.36355672360928604,70.0,80.0,75.0,2026-07-09 00:00:00-04:00,,,,,,True,False,6,False,2430
