id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-5m-bull-20260707T2325,NQ,bull,5m,phase1-v1.0.0,2026-07-07 23:15:00-04:00,2026-07-07 23:20:00-04:00,2026-07-07 23:25:00-04:00,29497.5,29476.75,29519.75,29500.5,29480.0,29500.5,29497.5,29500.5,29499.0,2026-07-07 23:30:00-04:00,2026-07-07 23:40:00-04:00,2026-07-07 23:45:00-04:00,2026-07-07 23:40:00-04:00,2026-07-07 23:45:00-04:00,2026-07-07 23:45:00-04:00,25,101534
FVG-5m-bear-20260707T2345,NQ,bear,5m,phase1-v1.0.0,2026-07-07 23:35:00-04:00,2026-07-07 23:40:00-04:00,2026-07-07 23:45:00-04:00,29517.5,29497.75,29493.25,29474.5,29506.0,29487.5,29493.25,29497.75,29495.5,2026-07-07 23:50:00-04:00,2026-07-08 16:00:00-04:00,,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,25,101538
FVG-5m-bear-20260707T2355,NQ,bear,5m,phase1-v1.0.0,2026-07-07 23:45:00-04:00,2026-07-07 23:50:00-04:00,2026-07-07 23:55:00-04:00,29493.25,29474.5,29473.75,29465.0,29483.0,29472.75,29473.75,29474.5,29474.125,2026-07-08 00:00:00-04:00,2026-07-08 16:00:00-04:00,,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,25,101540
FVG-5m-bear-20260708T0015,NQ,bear,5m,phase1-v1.0.0,2026-07-08 00:05:00-04:00,2026-07-08 00:10:00-04:00,2026-07-08 00:15:00-04:00,29470.0,29450.0,29448.0,29431.0,29464.5,29442.75,29448.0,29450.0,29449.0,2026-07-08 00:20:00-04:00,2026-07-08 00:25:00-04:00,2026-07-08 00:25:00-04:00,2026-07-08 00:25:00-04:00,2026-07-08 00:25:00-04:00,2026-07-08 00:25:00-04:00,25,101544
FVG-5m-bear-20260708T0035,NQ,bear,5m,phase1-v1.0.0,2026-07-08 00:25:00-04:00,2026-07-08 00:30:00-04:00,2026-07-08 00:35:00-04:00,29461.25,29438.75,29419.75,29391.25,29442.75,29412.0,29419.75,29438.75,29429.25,2026-07-08 00:40:00-04:00,2026-07-08 00:50:00-04:00,2026-07-08 01:10:00-04:00,2026-07-08 01:05:00-04:00,2026-07-08 01:10:00-04:00,2026-07-08 01:10:00-04:00,25,101548
FVG-5m-bear-20260708T0130,NQ,bear,5m,phase1-v1.0.0,2026-07-08 01:20:00-04:00,2026-07-08 01:25:00-04:00,2026-07-08 01:30:00-04:00,29424.75,29388.0,29385.75,29349.5,29388.5,29384.5,29385.75,29388.0,29386.875,2026-07-08 01:35:00-04:00,2026-07-08 03:35:00-04:00,2026-07-08 03:35:00-04:00,2026-07-08 03:35:00-04:00,2026-07-08 03:35:00-04:00,2026-07-08 03:35:00-04:00,25,101559
FVG-5m-bear-20260708T0145,NQ,bear,5m,phase1-v1.0.0,2026-07-08 01:35:00-04:00,2026-07-08 01:40:00-04:00,2026-07-08 01:45:00-04:00,29380.75,29354.0,29353.0,29314.25,29355.25,29353.0,29353.0,29354.0,29353.5,2026-07-08 01:50:00-04:00,2026-07-08 02:00:00-04:00,,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,25,101562
FVG-5m-bear-20260708T0150,NQ,bear,5m,phase1-v1.0.0,2026-07-08 01:40:00-04:00,2026-07-08 01:45:00-04:00,2026-07-08 01:50:00-04:00,29377.75,29345.75,29339.0,29311.75,29351.75,29315.75,29339.0,29345.75,29342.375,2026-07-08 01:55:00-04:00,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,2026-07-08 02:00:00-04:00,25,101563
FVG-5m-bear-20260708T0235,NQ,bear,5m,phase1-v1.0.0,2026-07-08 02:25:00-04:00,2026-07-08 02:30:00-04:00,2026-07-08 02:35:00-04:00,29358.75,29320.25,29309.5,29294.75,29320.25,29304.5,29309.5,29320.25,29314.875,2026-07-08 02:40:00-04:00,2026-07-08 02:45:00-04:00,2026-07-08 02:50:00-04:00,2026-07-08 02:50:00-04:00,2026-07-08 02:55:00-04:00,2026-07-08 02:55:00-04:00,25,101572
FVG-5m-bear-20260708T0305,NQ,bear,5m,phase1-v1.0.0,2026-07-08 02:55:00-04:00,2026-07-08 03:00:00-04:00,2026-07-08 03:05:00-04:00,29341.0,29320.25,29310.25,29281.75,29328.25,29304.75,29310.25,29320.25,29315.25,2026-07-08 03:10:00-04:00,2026-07-08 03:15:00-04:00,,2026-07-08 03:15:00-04:00,2026-07-08 03:15:00-04:00,2026-07-08 03:15:00-04:00,25,101578
