instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,15m,bull,phase1-v1.0.0,2026-07-07 13:30:00-04:00,2026-07-07 13:45:00-04:00,29532.5,29533.5,29532.5,29533.5,1.0,8.25,28.25,37.5,0.035398230088495575,0.02666666666666667,87.30357142857143,2026-07-07 13:30:00-04:00,0.3235835549192064,0.42953569237062794,0.011454285129883411,0.0,0.0,6.25,2026-07-07 14:00:00-04:00,,2026-07-07 14:00:00-04:00,,wick_traversal_beyond_far,2026-07-07 14:00:00-04:00,False,False,6,True,35617
NQ,15m,bear,phase1-v1.0.0,2026-07-07 13:45:00-04:00,2026-07-07 14:00:00-04:00,29567.25,29568.0,29568.0,29567.25,0.75,33.0,6.0,39.75,0.125,0.018867924528301886,77.57142857142857,2026-07-07 13:45:00-04:00,0.07734806629834254,0.5124309392265194,0.009668508287292817,0.0,0.0,7.5,2026-07-07 14:15:00-04:00,2026-07-07 14:15:00-04:00,2026-07-07 14:15:00-04:00,,body_overlap,2026-07-07 14:15:00-04:00,False,False,6,True,35618
NQ,15m,bull,phase1-v1.0.0,2026-07-07 13:45:00-04:00,2026-07-07 14:00:00-04:00,29528.25,29561.25,29528.25,29561.25,33.0,0.75,6.0,39.75,5.5,0.8301886792452831,77.57142857142857,2026-07-07 13:45:00-04:00,0.07734806629834254,0.5124309392265194,0.425414364640884,70.0,70.0,85.0,2026-07-07 14:15:00-04:00,2026-07-07 14:15:00-04:00,,,body_overlap,2026-07-07 14:15:00-04:00,False,False,6,True,35618
NQ,15m,bear,phase1-v1.0.0,2026-07-07 14:00:00-04:00,2026-07-07 14:15:00-04:00,29567.5,29574.25,29574.25,29567.5,6.75,16.0,20.25,43.0,0.3333333333333333,0.1569767441860465,71.94642857142857,2026-07-07 14:00:00-04:00,0.28145941921072226,0.5976669148672127,0.0938198064035741,30.0,25.0,40.0,2026-07-08 20:30:00-04:00,,2026-07-08 20:45:00-04:00,,wick_traversal_beyond_far,2026-07-08 20:45:00-04:00,False,False,6,True,35619
NQ,15m,bull,phase1-v1.0.0,2026-07-07 14:00:00-04:00,2026-07-07 14:15:00-04:00,29531.25,29547.25,29531.25,29547.25,16.0,6.75,20.25,43.0,0.7901234567901234,0.37209302325581395,71.94642857142857,2026-07-07 14:00:00-04:00,0.28145941921072226,0.5976669148672127,0.22238768925291635,40.0,35.0,45.0,2026-07-07 14:30:00-04:00,2026-07-07 14:30:00-04:00,2026-07-07 14:30:00-04:00,,body_overlap,2026-07-07 14:30:00-04:00,False,False,6,True,35619
NQ,15m,bear,phase1-v1.0.0,2026-07-07 14:15:00-04:00,2026-07-07 14:30:00-04:00,29547.5,29561.0,29561.0,29547.5,13.5,7.25,30.5,51.25,0.4426229508196721,0.2634146341463415,66.60714285714286,2026-07-07 14:15:00-04:00,0.4579088471849866,0.7694369973190348,0.20268096514745307,50.0,45.0,58.75,2026-07-07 21:15:00-04:00,2026-07-07 21:15:00-04:00,,,body_overlap,2026-07-07 21:15:00-04:00,False,False,6,True,35620
NQ,15m,bull,phase1-v1.0.0,2026-07-07 14:15:00-04:00,2026-07-07 14:30:00-04:00,29509.75,29517.0,29509.75,29517.0,7.25,13.5,30.5,51.25,0.23770491803278687,0.14146341463414633,66.60714285714286,2026-07-07 14:15:00-04:00,0.4579088471849866,0.7694369973190348,0.10884718498659517,30.0,20.0,27.5,2026-07-07 14:45:00-04:00,2026-07-07 14:45:00-04:00,2026-07-07 14:45:00-04:00,,body_overlap,2026-07-07 14:45:00-04:00,False,False,6,True,35620
NQ,15m,bear,phase1-v1.0.0,2026-07-07 14:30:00-04:00,2026-07-07 14:45:00-04:00,29517.5,29531.5,29531.5,29517.5,14.0,20.0,44.75,78.75,0.3128491620111732,0.17777777777777778,63.607142857142854,2026-07-07 14:30:00-04:00,0.7035373385738349,1.2380685008422234,0.2201010668163953,50.0,45.0,62.5,2026-07-07 21:00:00-04:00,2026-07-07 21:00:00-04:00,2026-07-07 21:00:00-04:00,,body_overlap,2026-07-07 21:00:00-04:00,False,False,6,True,35621
NQ,15m,bull,phase1-v1.0.0,2026-07-07 14:30:00-04:00,2026-07-07 14:45:00-04:00,29452.75,29472.75,29452.75,29472.75,20.0,14.0,44.75,78.75,0.44692737430167595,0.25396825396825395,63.607142857142854,2026-07-07 14:30:00-04:00,0.7035373385738349,1.2380685008422234,0.3144300954519933,60.0,45.0,50.0,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,,body_overlap,2026-07-07 15:00:00-04:00,False,False,6,True,35621
NQ,15m,bear,phase1-v1.0.0,2026-07-07 14:45:00-04:00,2026-07-07 15:00:00-04:00,29472.25,29485.0,29485.0,29472.25,12.75,5.75,81.25,99.75,0.15692307692307692,0.12781954887218044,63.035714285714285,2026-07-07 14:45:00-04:00,1.2889518413597734,1.5824362606232294,0.20226628895184137,30.0,40.0,52.5,2026-07-07 20:30:00-04:00,2026-07-07 20:45:00-04:00,2026-07-07 20:45:00-04:00,,body_overlap,2026-07-07 20:45:00-04:00,False,False,6,True,35622
NQ,15m,bull,phase1-v1.0.0,2026-07-07 14:45:00-04:00,2026-07-07 15:00:00-04:00,29385.25,29391.0,29385.25,29391.0,5.75,12.75,81.25,99.75,0.07076923076923076,0.05764411027568922,63.035714285714285,2026-07-07 14:45:00-04:00,1.2889518413597734,1.5824362606232294,0.09121813031161473,20.0,15.0,22.5,2026-07-07 15:15:00-04:00,2026-07-07 15:15:00-04:00,2026-07-07 15:15:00-04:00,,body_overlap,2026-07-07 15:15:00-04:00,False,False,6,True,35622
NQ,15m,bear,phase1-v1.0.0,2026-07-07 15:00:00-04:00,2026-07-07 15:15:00-04:00,29390.25,29410.0,29410.0,29390.25,19.75,15.25,56.5,91.5,0.3495575221238938,0.21584699453551912,66.53571428571429,2026-07-07 15:00:00-04:00,0.8491680085882983,1.3752012882447664,0.29683306494900696,70.0,60.0,72.5,2026-07-07 16:00:00-04:00,2026-07-07 16:00:00-04:00,,,body_overlap,2026-07-07 16:00:00-04:00,False,False,6,True,35623
NQ,15m,bull,phase1-v1.0.0,2026-07-07 15:00:00-04:00,2026-07-07 15:15:00-04:00,29318.5,29333.75,29318.5,29333.75,15.25,19.75,56.5,91.5,0.26991150442477874,0.16666666666666666,66.53571428571429,2026-07-07 15:00:00-04:00,0.8491680085882983,1.3752012882447664,0.22920021470746108,40.0,40.0,40.0,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,,body_overlap,2026-07-07 15:30:00-04:00,False,False,6,True,35623
NQ,15m,bear,phase1-v1.0.0,2026-07-07 15:15:00-04:00,2026-07-07 15:30:00-04:00,29333.75,29335.75,29335.75,29333.75,2.0,50.25,12.5,64.75,0.16,0.03088803088803089,67.23214285714286,2026-07-07 15:15:00-04:00,0.18592297476759628,0.9630810092961487,0.0297476759628154,10.0,10.0,15.0,2026-07-07 15:45:00-04:00,,2026-07-07 15:45:00-04:00,,wick_traversal_beyond_far,2026-07-07 15:45:00-04:00,False,False,6,True,35624
