instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,end_index
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 03:59:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,-13.5,1,0.3333333333333333,2.5,40.0,52.5,46.25,6.75,0.2708333333333333,0.35526315789473684,38.0,False,3241
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 03:59:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,13.5,2,0.6666666666666666,9.0,40.0,52.5,46.25,6.75,0.7291666666666666,0.35526315789473684,38.0,True,3241
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,-4.75,0,0.0,0.0,40.0,45.0,41.25,,0.06666666666666667,0.4222222222222222,11.25,False,3242
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,4.75,1,1.0,4.75,40.0,45.0,41.25,,0.9333333333333333,0.4222222222222222,11.25,False,3242
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,-9.75,0,0.0,0.0,40.0,48.75,43.75,9.0,0.06666666666666667,0.41935483870967744,23.25,False,3242
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,9.75,2,1.0,4.875,40.0,48.75,43.75,9.0,0.9333333333333333,0.41935483870967744,23.25,False,3242
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,-22.75,0,0.0,0.0,40.0,52.5,46.25,6.375,0.06666666666666667,0.5986842105263158,38.0,False,3242
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,22.75,3,1.0,5.0,40.0,52.5,46.25,6.375,0.9333333333333333,0.5986842105263158,38.0,False,3242
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,7.25,1,1.0,7.25,70.0,67.5,61.25,,0.6346153846153846,0.5576923076923077,13.0,False,3243
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,-7.25,0,0.0,0.0,70.0,67.5,61.25,,0.36538461538461536,0.5576923076923077,13.0,False,3243
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,0.75,1,0.5,7.25,55.0,56.25,51.25,11.0,0.6346153846153846,0.030927835051546393,24.25,False,3243
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,-0.75,1,0.5,4.75,55.0,56.25,51.25,11.0,0.36538461538461536,0.030927835051546393,24.25,False,3243
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,-4.25,1,0.3333333333333333,7.25,40.0,52.5,46.25,10.0,0.6346153846153846,0.11724137931034483,36.25,False,3243
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,4.25,2,0.6666666666666666,4.875,40.0,52.5,46.25,10.0,0.36538461538461536,0.11724137931034483,36.25,False,3243
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,-10.0,0,0.0,0.0,90.0,80.0,72.5,,0.12962962962962962,0.7407407407407407,13.5,False,3244
