week,variant_id,trigger_ts,structure_id,activation_ts,deactivation_ts,deactivation_reason,exclusion_reason
historical,EP-01123-ENTRY_ON_NEW_FVG,2026-06-03 09:44:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01125-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 09:44:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01125-ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-03 09:44:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01125-ENTRY_ON_NEW_FVG,2026-06-03 09:44:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01127-ENTRY_ON_IFVG_RETEST,2026-06-03 09:45:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01127-ENTRY_ON_IFVG_RETEST,2026-06-03 09:45:00-04:00,IFVG2-002501,2026-06-02 19:45:00-04:00,2026-06-03 03:45:00-04:00,EXPIRED_UNTOUCHED_8H,component
historical,EP-01129-ENTRY_ON_IFVG_RETEST,2026-06-03 09:45:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01131-ENTRY_ON_TAP,2026-06-03 09:50:00-04:00,IFVG2-003951,2026-06-02 09:11:00-04:00,2026-06-02 09:30:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01136-ENTRY_ON_TAP,2026-06-03 09:47:00-04:00,IFVG2-002497,2026-06-02 10:27:00-04:00,2026-06-02 10:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01150-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 09:57:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01150-ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-03 09:57:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01157-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 10:08:00-04:00,IFVG2-002495,2026-06-02 10:18:00-04:00,2026-06-02 10:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01157-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 10:08:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01157-ENTRY_ON_NEW_IFVG,2026-06-03 10:08:00-04:00,IFVG2-002495,2026-06-02 10:18:00-04:00,2026-06-02 10:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01157-ENTRY_ON_NEW_IFVG,2026-06-03 10:08:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01161-ENTRY_ON_TAP,2026-06-03 10:06:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01161-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 10:08:00-04:00,IFVG2-002495,2026-06-02 10:18:00-04:00,2026-06-02 10:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01161-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 10:08:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01161-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 10:08:00-04:00,IFVG2-002495,2026-06-02 10:18:00-04:00,2026-06-02 10:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01161-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 10:08:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01161-ENTRY_ON_NEW_IFVG,2026-06-03 10:08:00-04:00,IFVG2-002495,2026-06-02 10:18:00-04:00,2026-06-02 10:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01161-ENTRY_ON_NEW_IFVG,2026-06-03 10:08:00-04:00,IFVG2-000033,2026-06-03 10:02:00-04:00,2026-06-03 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01283-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01286-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01286-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 12:42:00-04:00,IFVG2-000051,2026-06-03 12:35:00-04:00,2026-06-03 12:48:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
