timeframe,source_seq,source_ts,source_ohlc,lower_wick,upper_wick,wick_body_ratio,reason
1,2942,2026-07-14 21:02:00-04:00,"(29886.0, 29888.5, 29878.5, 29881.0)",2.5,2.5,0.5,equal_wick_ambiguous
1,3032,2026-07-14 22:32:00-04:00,"(29973.5, 29977.75, 29971.25, 29975.5)",2.25,2.25,1.125,equal_wick_ambiguous
1,3039,2026-07-14 22:39:00-04:00,"(29977.5, 29983.25, 29975.75, 29981.5)",1.75,1.75,0.4375,equal_wick_ambiguous
1,3058,2026-07-14 22:58:00-04:00,"(29965.0, 29967.25, 29962.0, 29964.25)",2.25,2.25,3.0,equal_wick_ambiguous
1,3224,2026-07-15 01:44:00-04:00,"(29994.0, 29996.0, 29990.25, 29992.25)",2.0,2.0,1.1428571428571428,equal_wick_ambiguous
1,3237,2026-07-15 01:57:00-04:00,"(30023.5, 30024.25, 30019.25, 30020.0)",0.75,0.75,0.21428571428571427,equal_wick_ambiguous
1,3332,2026-07-15 03:32:00-04:00,"(29954.25, 29964.0, 29950.25, 29960.0)",4.0,4.0,0.6956521739130435,equal_wick_ambiguous
1,3388,2026-07-15 04:28:00-04:00,"(29898.75, 29905.75, 29897.25, 29904.25)",1.5,1.5,0.2727272727272727,equal_wick_ambiguous
1,3390,2026-07-15 04:30:00-04:00,"(29912.75, 29920.0, 29908.5, 29915.75)",4.25,4.25,1.4166666666666667,equal_wick_ambiguous
1,3467,2026-07-15 05:47:00-04:00,"(29939.75, 29941.25, 29936.75, 29938.25)",1.5,1.5,1.0,equal_wick_ambiguous
1,3495,2026-07-15 06:15:00-04:00,"(29942.25, 29947.25, 29940.25, 29945.25)",2.0,2.0,0.6666666666666666,equal_wick_ambiguous
1,3839,2026-07-15 11:59:00-04:00,"(29586.75, 29590.0, 29578.75, 29582.0)",3.25,3.25,0.6842105263157895,equal_wick_ambiguous
1,3842,2026-07-15 12:02:00-04:00,"(29550.0, 29554.0, 29537.5, 29541.5)",4.0,4.0,0.47058823529411764,equal_wick_ambiguous
1,3866,2026-07-15 12:26:00-04:00,"(29451.25, 29458.5, 29443.75, 29451.0)",7.25,7.25,29.0,equal_wick_ambiguous
1,3903,2026-07-15 13:03:00-04:00,"(29527.75, 29539.75, 29522.75, 29534.75)",5.0,5.0,0.7142857142857143,equal_wick_ambiguous
1,4129,2026-07-15 16:49:00-04:00,"(29717.5, 29720.0, 29716.5, 29719.0)",1.0,1.0,0.6666666666666666,equal_wick_ambiguous
1,4131,2026-07-15 16:51:00-04:00,"(29717.5, 29718.75, 29716.5, 29717.75)",1.0,1.0,4.0,equal_wick_ambiguous
1,4133,2026-07-15 16:53:00-04:00,"(29713.75, 29714.0, 29712.25, 29712.5)",0.25,0.25,0.2,equal_wick_ambiguous
1,4240,2026-07-15 19:40:00-04:00,"(29707.75, 29710.0, 29704.75, 29707.0)",2.25,2.25,3.0,equal_wick_ambiguous
1,4256,2026-07-15 19:56:00-04:00,"(29698.5, 29701.75, 29697.5, 29700.75)",1.0,1.0,0.4444444444444444,equal_wick_ambiguous
1,4257,2026-07-15 19:57:00-04:00,"(29696.25, 29698.5, 29688.75, 29691.0)",2.25,2.25,0.42857142857142855,equal_wick_ambiguous
1,4285,2026-07-15 20:25:00-04:00,"(29692.5, 29702.5, 29690.0, 29700.0)",2.5,2.5,0.3333333333333333,equal_wick_ambiguous
1,4329,2026-07-15 21:09:00-04:00,"(29658.75, 29665.0, 29649.75, 29656.0)",6.25,6.25,2.272727272727273,equal_wick_ambiguous
1,4425,2026-07-15 22:45:00-04:00,"(29680.0, 29689.75, 29676.5, 29686.25)",3.5,3.5,0.56,equal_wick_ambiguous
1,4437,2026-07-15 22:57:00-04:00,"(29723.75, 29726.75, 29723.0, 29726.0)",0.75,0.75,0.3333333333333333,equal_wick_ambiguous
1,4562,2026-07-16 01:02:00-04:00,"(29718.25, 29720.25, 29717.0, 29719.0)",1.25,1.25,1.6666666666666667,equal_wick_ambiguous
1,4611,2026-07-16 01:51:00-04:00,"(29688.75, 29691.0, 29686.0, 29688.25)",2.25,2.25,4.5,equal_wick_ambiguous
1,4612,2026-07-16 01:52:00-04:00,"(29686.75, 29690.0, 29683.5, 29686.75)",3.25,3.25,13.0,equal_wick_ambiguous
1,4669,2026-07-16 02:49:00-04:00,"(29669.0, 29684.0, 29666.0, 29681.0)",3.0,3.0,0.25,equal_wick_ambiguous
1,4675,2026-07-16 02:55:00-04:00,"(29674.5, 29687.5, 29672.25, 29685.25)",2.25,2.25,0.20930232558139536,equal_wick_ambiguous
1,4705,2026-07-16 03:25:00-04:00,"(29633.25, 29636.0, 29623.0, 29625.75)",2.75,2.75,0.36666666666666664,equal_wick_ambiguous
