id,parent_fvg_id,timeframe,parent_direction,child_direction,parent_formation_ts_et,parent_width_points,parent_width_atr,parent_first_touch_ts_et,inversion_ts_et,inversion_open,inversion_high,inversion_low,inversion_close,close_through_boundary,atr_at_inversion,inversion_body_atr,inversion_range_atr,bars_from_formation_to_inversion,bars_from_first_touch_to_inversion,inversion_speed_bucket,max_penetration_before_inversion,distance_through_zone,distance_through_zone_over_width,n_scraping_candles,avg_scraping_body,activation_ts_et,expiry_ts_et,deactivation_reason
IFVG2-000355,FVG2-000691,1,bullish,bearish,2026-07-17 00:43:00-04:00,3.25,0.22272869921719324,2026-07-17 00:44:00-04:00,2026-07-17 00:59:00-04:00,28816.75,28817.5,28804.75,28804.75,28805.5,13.090087325794935,0.916724212859387,0.9740194761630987,16,15,5plus_candles,0.5,0.75,0.23076923076923078,2,3.75,2026-07-17 00:59:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000356,FVG2-000692,1,bearish,bullish,2026-07-17 01:02:00-04:00,0.75,0.05772803677897971,2026-07-17 01:03:00-04:00,2026-07-17 01:03:00-04:00,28793.75,28807.25,28792.25,28807.25,28796.0,13.135385883799175,1.0277581579579271,1.1419535088421413,1,,1_candles,0.0,11.25,15.0,0,,2026-07-17 01:03:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000357,FVG2-000693,1,bullish,bearish,2026-07-17 01:10:00-04:00,1.25,0.09609231936613566,2026-07-17 01:11:00-04:00,2026-07-17 01:11:00-04:00,28808.75,28808.75,28795.25,28797.0,28800.75,13.043443480180356,0.9008357354293937,1.035002759855048,1,0,1_candles,0.0,3.75,3.0,0,,2026-07-17 01:11:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000358,FVG2-000696,1,bullish,bearish,2026-07-17 02:00:00-04:00,4.75,0.3140551010317369,2026-07-17 02:01:00-04:00,2026-07-17 02:01:00-04:00,28761.75,28765.75,28743.75,28747.0,28748.0,15.615824829359628,0.9445546528075947,1.40882727876387,1,0,1_candles,0.0,1.0,0.21052631578947367,0,,2026-07-17 02:01:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000359,FVG2-000697,1,bearish,bullish,2026-07-17 02:08:00-04:00,6.75,0.43374959233983645,2026-07-17 02:10:00-04:00,2026-07-17 02:11:00-04:00,28744.75,28759.5,28743.75,28753.75,28747.25,15.323490340159605,0.5873335513132355,1.0278337147981622,3,,3_candles,0.0,6.5,0.9629629629629629,1,11.0,2026-07-17 02:11:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000360,FVG2-000701,1,bullish,bearish,2026-07-17 02:24:00-04:00,0.25,0.019052431872550155,2026-07-17 02:37:00-04:00,2026-07-17 02:37:00-04:00,28808.5,28810.0,28787.25,28788.5,28797.25,12.782753305498144,1.5646081499044153,1.7797417705162724,13,0,5plus_candles,0.0,8.75,35.0,0,,2026-07-17 02:37:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000361,FVG2-000700,1,bullish,bearish,2026-07-17 02:21:00-04:00,14.25,1.0697608825411722,2026-07-17 02:22:00-04:00,2026-07-17 02:41:00-04:00,28779.0,28779.0,28765.25,28773.5,28774.0,12.862784182588829,0.4275901641453991,1.0689754103634976,20,19,5plus_candles,1.75,0.5,0.03508771929824561,5,7.95,2026-07-17 02:41:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000362,FVG2-000698,1,bullish,bearish,2026-07-17 02:11:00-04:00,6.0,0.39155570087549035,2026-07-17 02:46:00-04:00,2026-07-17 02:53:00-04:00,28753.25,28755.25,28735.0,28737.5,28737.75,13.943639016130392,1.1295473141394408,1.452275118179281,42,7,5plus_candles,0.0,0.25,0.041666666666666664,5,10.65,2026-07-17 02:53:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000363,FVG2-000704,1,bearish,bullish,2026-07-17 03:10:00-04:00,0.25,0.017267380561181298,2026-07-17 03:11:00-04:00,2026-07-17 03:12:00-04:00,28733.75,28743.25,28729.5,28743.25,28736.0,14.477347106927878,0.6561975705793462,0.9497596416280011,2,,2_candles,0.0,7.25,29.0,1,7.0,2026-07-17 03:12:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000364,FVG2-000705,1,bearish,bullish,2026-07-17 03:22:00-04:00,14.75,1.0520017817106766,2026-07-17 03:23:00-04:00,2026-07-17 03:26:00-04:00,28721.5,28746.0,28721.5,28746.0,28744.75,14.525181045665025,1.6867259638950878,1.6867259638950878,4,,4_candles,0.0,1.25,0.0847457627118644,1,4.25,2026-07-17 03:26:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000365,FVG2-000706,1,bullish,bearish,2026-07-17 03:27:00-04:00,15.25,1.0670872848189301,2026-07-17 03:28:00-04:00,2026-07-17 03:34:00-04:00,28736.5,28736.5,28727.0,28727.0,28729.0,12.87948914379662,0.7376068952684863,0.7376068952684863,7,6,5plus_candles,0.0,2.0,0.13114754098360656,3,7.25,2026-07-17 03:34:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000366,FVG2-000709,1,bearish,bullish,2026-07-17 03:42:00-04:00,2.0,0.16313031076697088,2026-07-17 03:43:00-04:00,2026-07-17 03:43:00-04:00,28704.25,28719.75,28702.5,28716.0,28711.25,12.616556019916496,0.9313159614598032,1.3672510923558814,1,,1_candles,0.0,4.75,2.375,0,,2026-07-17 03:43:00-04:00,,DEACTIVATED_CLOSE_THROUGH
