id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,activated,activation_candle_number,activation_ts_et,first_tap_ts_et,first_tap_was_activated,n_taps,max_penetration,deactivation_ts_et,deactivation_reason_final
RB2-002882,1,bearish,6379,2026-07-17 08:19:00-04:00,28677.75,28682.5,28670.75,28675.25,4.75,4.5,2.5,False,11.75,1.9,0.40425531914893614,1.0555555555555556,12.077739911121386,28677.75,28682.5,6.75,6.75,,0.5588793971117466,0.5588793971117466,,False,,,2026-07-17 08:20:00-04:00,False,2,6.75,2026-07-17 08:21:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002883,1,bullish,6382,2026-07-17 08:22:00-04:00,28683.5,28684.25,28677.5,28682.0,4.5,0.75,1.5,False,6.75,3.0,0.6666666666666666,6.0,11.72678374079216,28677.5,28682.0,12.0,14.75,14.75,1.0232984819407427,1.2578043840521629,1.2578043840521629,False,,,2026-07-17 08:23:00-04:00,False,2,9.75,2026-07-17 08:26:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002884,1,bullish,6384,2026-07-17 08:24:00-04:00,28694.75,28696.75,28685.25,28688.0,2.75,2.0,6.75,False,11.5,0.4074074074074074,0.2391304347826087,1.375,11.861359449968749,28685.25,28688.0,5.25,,,0.4426136837134492,,,False,,,2026-07-17 08:25:00-04:00,False,1,1.25,2026-07-17 08:25:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002885,1,bearish,6388,2026-07-17 08:28:00-04:00,28665.25,28678.25,28663.25,28672.75,5.5,2.0,7.5,False,15.0,0.7333333333333333,0.36666666666666664,2.75,12.07483957857553,28672.75,28678.25,3.75,11.75,11.75,0.31056313217226095,0.973097814139751,0.973097814139751,False,,,2026-07-17 08:29:00-04:00,False,5,1.5,2026-07-17 08:33:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002886,1,bullish,6389,2026-07-17 08:29:00-04:00,28670.75,28676.0,28669.0,28674.75,1.75,1.25,4.0,False,7.0,0.4375,0.25,1.4,11.712351037248707,28669.0,28670.75,3.75,,,0.3201748298077731,,,False,,,2026-07-17 08:30:00-04:00,False,1,8.0,2026-07-17 08:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002887,1,bullish,6391,2026-07-17 08:31:00-04:00,28673.25,28673.25,28662.5,28666.75,4.25,0.0,6.5,False,10.75,0.6538461538461539,0.3953488372093023,17.0,11.83233329232159,28662.5,28666.75,11.5,13.0,13.0,0.9719131227872653,1.0986843996725608,1.0986843996725608,False,,,2026-07-17 08:32:00-04:00,False,7,4.25,2026-07-17 08:40:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002888,1,bullish,6396,2026-07-17 08:36:00-04:00,28670.25,28682.75,28667.25,28682.25,3.0,0.5,12.0,False,15.5,0.25,0.1935483870967742,6.0,12.312562334715372,28667.25,28670.25,11.75,,,0.9543098894103283,,,False,,,2026-07-17 08:37:00-04:00,False,1,2.25,2026-07-17 08:37:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002889,1,bearish,6398,2026-07-17 08:38:00-04:00,28667.5,28675.5,28667.5,28668.75,6.75,0.0,1.25,False,8.0,5.4,0.84375,27.0,12.332005278402539,28668.75,28675.5,2.75,,,0.22299698531723536,,,False,,,2026-07-17 08:39:00-04:00,False,1,2.75,2026-07-17 08:39:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002890,1,bearish,6400,2026-07-17 08:40:00-04:00,28672.5,28677.75,28658.25,28661.25,5.25,3.0,11.25,False,19.5,0.4666666666666667,0.2692307692307692,1.75,12.838565775765455,28672.5,28677.75,16.5,21.75,,1.28519028434983,1.6941144657338667,,True,2,2026-07-17 08:42:00-04:00,2026-07-17 08:44:00-04:00,True,1,6.0,2026-07-17 08:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002891,1,bearish,6401,2026-07-17 08:41:00-04:00,28662.25,28664.5,28656.0,28657.25,2.25,1.25,5.0,False,8.5,0.45,0.2647058823529412,1.8,12.528668220353637,28662.25,28664.5,11.5,11.5,,0.9178948470610389,0.9178948470610389,,False,,,2026-07-17 08:43:00-04:00,False,1,1.5,2026-07-17 08:43:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
