family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004045,1,SOURCE,2026-07-14 20:13:00-04:00,
RB,RB2-004046,1,SOURCE,2026-07-14 20:13:00-04:00,
RB,RB2-004047,1,SOURCE,2026-07-14 20:14:00-04:00,
RB,RB2-004048,1,SOURCE,2026-07-14 20:14:00-04:00,
RB,RB2-004049,1,SOURCE,2026-07-14 20:15:00-04:00,
RB,RB2-004050,1,SOURCE,2026-07-14 20:15:00-04:00,
RB,RB2-004051,1,SOURCE,2026-07-14 20:16:00-04:00,
RB,RB2-004052,1,SOURCE,2026-07-14 20:16:00-04:00,
RB,RB2-004053,1,SOURCE,2026-07-14 20:17:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004053,1,ACTIVATED,2026-07-14 20:20:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004053,1,FIRST_TAP,2026-07-14 20:18:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004053,1,DEACTIVATED,2026-07-14 20:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004054,1,SOURCE,2026-07-14 20:17:00-04:00,
RB,RB2-004055,1,SOURCE,2026-07-14 20:18:00-04:00,
RB,RB2-004056,1,SOURCE,2026-07-14 20:19:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004056,1,ACTIVATED,2026-07-14 20:20:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004056,1,FIRST_TAP,2026-07-14 20:20:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004056,1,DEACTIVATED,2026-07-14 20:35:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004057,1,SOURCE,2026-07-14 20:19:00-04:00,
RB,RB2-004058,1,SOURCE,2026-07-14 20:20:00-04:00,
RB,RB2-004059,1,SOURCE,2026-07-14 20:22:00-04:00,
RB,RB2-004060,1,SOURCE,2026-07-14 20:22:00-04:00,
RB,RB2-004061,1,SOURCE,2026-07-14 20:23:00-04:00,
RB,RB2-004062,1,SOURCE,2026-07-14 20:24:00-04:00,
RB,RB2-004063,1,SOURCE,2026-07-14 20:24:00-04:00,
RB,RB2-004064,1,SOURCE,2026-07-14 20:25:00-04:00,
RB,RB2-004065,1,SOURCE,2026-07-14 20:25:00-04:00,
RB,RB2-004066,1,SOURCE,2026-07-14 20:26:00-04:00,
RB,RB2-004067,1,SOURCE,2026-07-14 20:26:00-04:00,
RB,RB2-004068,1,SOURCE,2026-07-14 20:27:00-04:00,
RB,RB2-004069,1,SOURCE,2026-07-14 20:28:00-04:00,
RB,RB2-004070,1,SOURCE,2026-07-14 20:29:00-04:00,
RB,RB2-004071,1,SOURCE,2026-07-14 20:29:00-04:00,
RB,RB2-004072,1,SOURCE,2026-07-14 20:30:00-04:00,
RB,RB2-004073,1,SOURCE,2026-07-14 20:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004073,1,ACTIVATED,2026-07-14 20:33:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004073,1,FIRST_TAP,2026-07-14 20:31:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004073,1,DEACTIVATED,2026-07-14 20:31:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004074,1,SOURCE,2026-07-14 20:31:00-04:00,
RB,RB2-004075,1,SOURCE,2026-07-14 20:31:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004075,1,ACTIVATED,2026-07-14 20:33:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004075,1,FIRST_TAP,2026-07-14 20:32:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004075,1,DEACTIVATED,2026-07-14 20:58:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004076,1,SOURCE,2026-07-14 20:32:00-04:00,
RB,RB2-004077,1,SOURCE,2026-07-14 20:32:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004077,1,ACTIVATED,2026-07-14 20:33:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004077,1,FIRST_TAP,2026-07-14 20:58:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004077,1,DEACTIVATED,2026-07-14 20:58:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004078,1,SOURCE,2026-07-14 20:33:00-04:00,
RB,RB2-004079,1,SOURCE,2026-07-14 20:34:00-04:00,
