branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-368176,GEP-081999,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368177,GEP-081999,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368178,GEP-082000,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368179,GEP-082000,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368180,GEP-082000,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368181,GEP-082001,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368182,GEP-082001,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368183,GEP-082002,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368184,GEP-082002,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368185,GEP-082003,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368186,GEP-082003,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368187,GEP-082003,H_fvg_no_fill_continuation,INVALIDATED,opposing_move,1
GBR-368188,GEP-082003,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368189,GEP-082003,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368190,GEP-082003,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368191,GEP-082003,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368192,GEP-082004,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368193,GEP-082004,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368194,GEP-082005,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368195,GEP-082005,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368196,GEP-082005,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368197,GEP-082001,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368198,GEP-082001,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368199,GEP-082001,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368200,GEP-082002,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368201,GEP-082002,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368202,GEP-082002,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368203,GEP-082006,H_fvg_no_fill_continuation,EMITTED,fvg_no_fill,2
GBR-368204,GEP-082006,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368205,GEP-082006,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368206,GEP-082006,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368207,GEP-082006,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368208,GEP-081758,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368209,GEP-081758,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368210,GEP-081758,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368211,GEP-082007,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368212,GEP-082007,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368213,GEP-082007,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368214,GEP-082008,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368215,GEP-082008,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368216,GEP-082008,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368217,GEP-082009,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368218,GEP-082009,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368219,GEP-082010,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368220,GEP-082010,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368221,GEP-082011,H_rb_reaction_continuation,INVALIDATED,origin_invalidated,2
GBR-368222,GEP-082011,H_rb_fvg_fill_continuation,INVALIDATED,origin_invalidated,2
GBR-368223,GEP-082011,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368224,GEP-082012,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368225,GEP-082012,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368226,GEP-082013,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368227,GEP-082013,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368228,GEP-082013,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368229,GEP-082014,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368230,GEP-082014,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368231,GEP-082014,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-368232,GEP-082014,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368233,GEP-082014,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368234,GEP-082014,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368235,GEP-082014,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368236,GEP-082015,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368237,GEP-082015,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368238,GEP-082016,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-368239,GEP-082016,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368240,GEP-082016,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368241,GEP-082016,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368242,GEP-082016,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368243,GEP-082017,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368244,GEP-082017,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
