config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
D066_V,D,AMD tf1m L24 w1.0 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D067,D,AMD tf1m L24 w1.0 exc0.0 mw6 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D067_V,D,AMD tf1m L24 w1.0 exc0.0 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D068,D,AMD tf1m L24 w1.0 exc0.0 mw12 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D068_V,D,AMD tf1m L24 w1.0 exc0.0 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D069,D,AMD tf1m L24 w1.0 exc0.0 mw12 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D069_V,D,AMD tf1m L24 w1.0 exc0.0 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D070,D,AMD tf1m L24 w1.0 exc0.0 mw12 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D070_V,D,AMD tf1m L24 w1.0 exc0.0 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D071,D,AMD tf1m L24 w1.0 exc0.0 mw12 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D071_V,D,AMD tf1m L24 w1.0 exc0.0 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D072,D,AMD tf1m L24 w1.0 exc0.25 mw6 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D072_V,D,AMD tf1m L24 w1.0 exc0.25 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D073,D,AMD tf1m L24 w1.0 exc0.25 mw6 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D073_V,D,AMD tf1m L24 w1.0 exc0.25 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D074,D,AMD tf1m L24 w1.0 exc0.25 mw6 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
