config_id,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
V19_K1,AMD tf5m w1.50 gate=False wait60m +K1 VWAP state,EVALUATED,757,1.8184625943719972,1.6326761006289305,1.4875411146636024,1.3560951422752856,201.19100000000003,163.1110426480396,125.03108529607917,-18.770575824384515,-23.223051648769008,8,8,7
V20,AMD tf5m w2.25 gate=True wait30m,EVALUATED,2863,6.877487989018531,1.3557985994667716,1.2552137323361434,1.1628738916734385,500.24019999999996,374.8420885481123,249.44397709622453,-24.582695082778855,-31.527622671587224,8,7,7
V20_K1,AMD tf5m w2.25 gate=True wait30m +K1 VWAP state,EVALUATED,678,1.6286890871654085,1.3802434083601285,1.2550289274112474,1.1417553356025325,118.2557,83.49449261757019,48.73328523514038,-18.033419810822693,-23.10587705933152,7,6,5
V21,AMD tf5m w2.25 gate=True wait60m,EVALUATED,3342,8.028140013726835,1.3436764376781447,1.2421736331904476,1.1491065908119837,566.8339,417.5259647826344,268.2180295652688,-29.97295332660991,-35.928937799220506,8,8,7
V21_K1,AMD tf5m w2.25 gate=True wait60m +K1 VWAP state,EVALUATED,882,2.1187371310912835,1.3977373464373462,1.2724460966228377,1.1591163829846405,161.8791,116.73734375150522,71.59558750301045,-25.144254621196104,-31.536243000938434,6,6,6
V22,AMD tf5m w2.25 gate=False wait30m,EVALUATED,3119,7.49245024021963,1.34269082328751,1.2411317368797257,1.1480528243674082,529.4614,389.523387652133,249.585375304266,-36.88807693671504,-46.901726121492764,8,7,6
V22_K1,AMD tf5m w2.25 gate=False wait30m +K1 VWAP state,EVALUATED,812,1.9505833905284833,1.4663966743736492,1.3319872367423016,1.21049989254561,169.3241,126.93708146554843,84.55006293109682,-25.533467972992952,-31.110135945985867,7,6,6
V23,AMD tf5m w2.25 gate=False wait60m,EVALUATED,3543,8.510981468771448,1.315339146010976,1.213470341306767,1.1202790095922746,558.2674999999999,395.51751556022776,232.76753112045546,-41.221385943214955,-60.91138374733069,8,8,6
V23_K1,AMD tf5m w2.25 gate=False wait60m +K1 VWAP state,EVALUATED,997,2.394989704873027,1.462541056786463,1.3300004451345264,1.2101252863797165,208.1654,156.36158962852141,104.55777925704288,-20.480176680587306,-26.5365406050788,7,6,6
V24,AMD tf15m w1.00 gate=True wait30m,EVALUATED,368,0.8840082361015786,1.5001707192993954,1.3877385812107519,1.2844797531900187,80.12960000000001,64.87666192818449,49.623723856368976,-16.94276388762583,-20.176746877229046,7,7,7
V24_K1,AMD tf15m w1.00 gate=True wait30m +K1 VWAP state,TOO_FEW,57,,,,,,,,,,,,
V25,AMD tf15m w1.00 gate=True wait60m,EVALUATED,592,1.4221002059025394,1.3288713882978913,1.2294216057681535,1.1383353533066305,93.2084,68.00761896312035,42.80683792624071,-28.95373317264454,-40.38166634528902,6,5,4
V25_K1,AMD tf15m w1.00 gate=True wait60m +K1 VWAP state,TOO_FEW,116,,,,,,,,,,,,
V26,AMD tf15m w1.00 gate=False wait30m,EVALUATED,370,0.8888126286890872,1.4816734430918994,1.3706991789953769,1.2687690668115492,78.1296,62.79666984819241,47.46373969638482,-17.760629482570568,-21.264658965141138,7,7,7
V26_K1,AMD tf15m w1.00 gate=False wait30m +K1 VWAP state,TOO_FEW,57,,,,,,,,,,,,
V27,AMD tf15m w1.00 gate=False wait60m,EVALUATED,602,1.4461221688400825,1.3266127152345528,1.2267626078861595,1.1353416169578687,93.8747,68.18052617867033,42.4863523573407,-30.54088401644931,-42.25066803289855,6,5,4
V27_K1,AMD tf15m w1.00 gate=False wait60m +K1 VWAP state,TOO_FEW,120,,,,,,,,,,,,
V28,AMD tf15m w1.50 gate=True wait30m,EVALUATED,1025,2.4622512010981468,1.4587397232773847,1.3503879605600568,1.2509329275217125,219.3714,175.05149255141816,130.73158510283628,-25.80278821031513,-31.538176420630254,7,7,6
V28_K1,AMD tf15m w1.50 gate=True wait30m +K1 VWAP state,TOO_FEW,194,,,,,,,,,,,,
V29,AMD tf15m w1.50 gate=True wait60m,EVALUATED,1704,4.09334248455731,1.3393710484017582,1.2389708216847541,1.1469166104590762,282.25109999999995,207.7590752022557,133.26705040451142,-32.12512514976235,-39.177450299524644,7,6,6
V29_K1,AMD tf15m w1.50 gate=True wait60m +K1 VWAP state,EVALUATED,420,1.0089224433768016,1.2515633663366337,1.1377575729048761,1.0352277319352068,50.815799999999996,29.357200169813172,7.89860033962638,-26.894090530150812,-35.19885159693322,4,4,3
V30,AMD tf15m w1.50 gate=False wait30m,EVALUATED,1056,2.53671928620453,1.4521735969685252,1.3445305984648401,1.2456621791148987,223.9184,178.18406516686065,132.44973033372133,-26.846744254271172,-32.626088508542324,7,7,5
V30_K1,AMD tf15m w1.50 gate=False wait30m +K1 VWAP state,TOO_FEW,207,,,,,,,,,,,,
V31,AMD tf15m w1.50 gate=False wait60m,EVALUATED,1811,4.350377487989019,1.3674013989981522,1.264815461449034,1.1707680556247857,324.3011,244.36066680370385,164.4202336074077,-31.365328665322203,-38.978057330644354,7,7,6
V31_K1,AMD tf15m w1.50 gate=False wait60m +K1 VWAP state,EVALUATED,453,1.0881949210706932,1.3260403755868544,1.206029760123127,1.0976327388996687,69.44659999999999,46.23521026692853,23.023820533857073,-16.01461232777318,-18.57529483546893,7,5,4
