amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD7,above_POC,none,1626,3.905971173644475,1.2228974776498727,1.1265725652130512,190.12235858063426,112.88431716126848,-35.87063535832837,-49.5881477368045,7,6
AMD7,above_POC,K1_930,537,1.2899794097460535,1.4549130862180537,1.3187379984393093,108.36613050016412,79.80506100032824,-17.177835315963733,-19.06517063192757,8,8
AMD7,gt1ATR_POC,none,3171,7.617364447494853,1.163208366002608,1.0722735709883475,284.91761682978677,132.06453365957344,-47.56938214386548,-72.14186428773104,6,5
AMD7,gt1ATR_POC,K1_930,907,2.178792038435141,1.344760838230766,1.2259228698442377,151.69060316816007,104.37090633632005,-16.11520613779847,-20.281012275596872,8,7
AMD7,gt1ATR_POC,930_and_EMA,418,1.004118050789293,1.3827869918864637,1.2714022873312227,79.0538758350757,58.63475167015139,-20.273642892984654,-22.97013339309496,7,6
AMD8,none,none,1977,4.749142072752231,1.3296371697353733,1.2353958934980291,324.48118047744913,241.14896095489814,-19.406405938868005,-21.32436242373285,8,7
AMD8,none,K1_930,418,1.004118050789293,1.2858400250605833,1.172668874733425,56.759515858626074,35.93143171725216,-16.14818448677361,-20.34886897354726,7,7
AMD8,in_value,none,696,1.6719286204529855,1.3483666840130484,1.2475223954841794,118.39611630660606,87.73073261321213,-13.578683572054771,-15.172167144109594,8,7
AMD8,below_POC,none,1096,2.6328071379547016,1.3444308442181443,1.2501431734744006,182.380798947304,137.76679789460795,-18.757801374736772,-23.695874884903816,7,7
AMD8,above_POC,none,896,2.1523678792038434,1.2880312064471158,1.1952998590574757,134.34923334882862,94.8918666976572,-24.834356078710627,-29.332847316897755,6,5
AMD8,gt1ATR_POC,none,1741,4.182223747426218,1.2769443451415412,1.1859601261516575,256.9468650539968,179.9296301079937,-21.849093124161527,-23.422886248323238,8,6
AMD9,none,none,2638,6.336993822923816,1.2690755144020485,1.1776616574895082,363.1937789681826,249.7520579363652,-25.131155391941036,-31.89903904311211,7,7
AMD9,none,K1_930,649,1.559025394646534,1.4060731361848335,1.285587471893309,122.06440793950247,90.01551587900495,-12.96952712565551,-14.38095632719461,8,8
AMD9,in_value,none,968,2.3253260123541524,1.27234739595992,1.17561273465616,133.9335928256952,90.1356856513904,-25.405443662458627,-28.531363728397277,6,6
AMD9,below_POC,none,1469,3.5288263555250516,1.3133578125066228,1.2194141585113738,228.39889445857648,166.51598891715292,-19.902215054372753,-29.53723010874554,7,6
AMD9,above_POC,none,1192,2.8634179821551133,1.1987979967448326,1.1112976953167935,126.57978062658054,73.84566125316104,-34.40497908162716,-50.01830964667457,5,5
AMD9,gt1ATR_POC,none,2349,5.642759094028826,1.21181200887282,1.1240314923716457,271.61121127387696,165.96232254775387,-35.006784023721536,-45.3189420675736,7,6
AMD9,gt1ATR_POC,K1_930,510,1.2251201098146878,1.3845196482066535,1.265522408888885,95.12192090149094,68.9713418029819,-13.785756288004483,-19.655177603800695,7,7
AMD10,none,none,2248,5.400137268359643,1.3469109707417122,1.2497809617542355,385.80095839390225,289.34241678780444,-24.127918364121285,-27.13733672824307,8,7
AMD10,none,K1_930,536,1.2875772134522994,1.3986443930091499,1.274142090254917,97.24028185199106,70.12756370398213,-10.163917965017063,-11.222235930034124,8,6
AMD10,in_value,none,816,1.9601921757035004,1.4052938488795799,1.2984712616005667,156.8801675661765,120.54343513235295,-11.862279393096742,-13.390943218925027,8,6
AMD10,below_POC,none,1244,2.9883321894303365,1.2948639452717188,1.2012338468155304,180.0327761512499,127.95435230249984,-21.998495372871787,-27.102490745743637,7,6
AMD10,above_POC,none,1024,2.4598490048043926,1.3953915708993472,1.2947443395162572,203.30568883130678,157.9325776626136,-30.192663083549775,-33.183544216282286,7,6
AMD10,gt1ATR_POC,none,1978,4.751544269045985,1.2823187632381134,1.1895001472337436,296.8943920598169,208.01378411963378,-26.87612928882075,-29.936658577641538,8,7
AMD10,gt1ATR_POC,K1_930,414,0.9945092656142759,1.3120641472476062,1.1948683808124845,63.08685951465687,41.37441902931375,-12.243451120013454,-14.831169453790732,7,6
AMD11,none,none,3030,7.278654770075498,1.2535884004016207,1.1608388972325832,396.4295040278994,262.19500805579884,-26.963238088379683,-39.33436618591624,8,7
AMD11,none,K1_930,795,1.9097460535346602,1.3745209656494815,1.2539832891290508,139.0846179206101,98.97373584122016,-15.153915923691684,-17.485631847383374,8,8
AMD11,in_value,none,1118,2.685655456417296,1.2724967783056031,1.1729299183744484,152.36985510676033,100.99771021352065,-27.61071001806384,-32.07502003612762,6,6
AMD11,in_value,K1_930,409,0.9824982841455044,1.401007376748258,1.2767080793484507,73.42427564102562,53.183051282051224,-16.17574761796557,-18.787995235931156,7,6
AMD11,below_POC,none,1673,4.018874399450927,1.2555757149254878,1.1620604124686582,215.9599164058055,142.79923281161095,-24.532272418049246,-32.235948730291405,8,5
AMD11,below_POC,K1_930,406,0.9752916952642416,1.5217394601415402,1.3912081003750079,95.99974498016479,75.50268996032955,-19.251129567223742,-21.364859134447414,7,7
AMD11,above_POC,none,1383,3.3222374742621827,1.2391857024175665,1.1479611746293301,175.83589701701084,113.44779403402164,-32.30850403208581,-36.96020806417161,6,5
AMD11,gt1ATR_POC,none,2692,6.466712422786548,1.1964793700394032,1.1076847876112332,289.97968593407586,166.01047186815165,-43.96191367932136,-54.58812735864256,8,5
AMD11,gt1ATR_POC,K1_930,637,1.5301990391214826,1.3180735194926012,1.20140878660143,99.52684081380292,66.22528162760585,-18.64653517426463,-21.60107034852925,8,7
AMD12,none,none,3024,7.264241592312972,1.2585726727100297,1.1647524876847553,400.65835582286206,266.3365116457241,-26.00746362105795,-35.936920451448486,7,7
AMD12,none,K1_930,750,1.8016472203157172,1.2490538131096613,1.1347167405499057,89.73178019413578,51.001260388271575,-21.280896858445047,-26.28006598994419,7,7
AMD12,in_value,none,1058,2.5415236787920383,1.2764531619158186,1.177247814917176,147.47392614811992,98.79965229623983,-32.073729592201545,-37.285859184403094,6,5
AMD12,below_POC,none,1614,3.8771448181194237,1.280564698450169,1.1864336280893775,225.95256675703735,156.55843351407475,-28.97132303396132,-35.6072242399545,6,4
AMD12,above_POC,none,1430,3.4351407000686343,1.2204380271802524,1.1278342888004604,167.0528813235765,101.13926264715299,-27.106636589325916,-32.239382246225624,5,5
AMD12,gt1ATR_POC,none,2682,6.442690459849005,1.2568941708403512,1.1636448327593685,370.7658110720706,246.7816221441411,-33.01072359274718,-45.026586757395364,7,7
AMD12,gt1ATR_POC,K1_930,588,1.4124914207275223,1.3202953229348346,1.2006085008666298,90.82564830469846,59.80879660939693,-16.602645274806456,-19.943626561965623,7,6
AMD13,none,none,3401,8.169869595058339,1.2449133994398323,1.150875370003159,431.7746740673749,277.66754813474995,-35.911513351886754,-42.54274937524423,7,6
AMD13,none,K1_930,915,2.198009608785175,1.2866458200291113,1.170894839134721,125.91711995537327,78.87743991074653,-32.61751357098174,-38.74762714196347,7,6
AMD13,none,K3_LON_EMA,420,1.0089224433768016,1.496610133676459,1.355242241161059,79.70723255693642,59.68256511387281,-10.809034906198846,-11.904569812397632,7,7
AMD13,none,930_and_EMA,465,1.1170212765957448,1.3635999006958412,1.2478793020887213,78.96393252849077,56.35416505698153,-17.04760637151235,-18.515024816872252,7,6
AMD13,in_value,none,1206,2.8970487302676733,1.3045822681362782,1.2011869991938682,184.95506986443553,127.79353972887098,-39.10458152612198,-42.59176305224397,7,7
AMD13,in_value,K1_930,459,1.102608098833219,1.2710400256047054,1.1572923674721154,59.99782469712322,36.60554939424645,-26.639545940158264,-32.308011845460605,6,6
AMD13,below_POC,none,1862,4.4728894989704875,1.2672725289860056,1.1729493545430116,253.20521140102014,170.9859228020402,-26.97622266647022,-34.84548757194851,6,5
AMD13,below_POC,K1_930,457,1.0978037062457104,1.4464367847685256,1.325217945514066,95.35515711545999,72.90841423091997,-24.7318247271981,-28.323949454396203,6,6
