config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2,best_year_share2
T0139,C,TPO prior bin4: inside_value + LONVWAP<1sd + EMA,EVALUATED,467,1.1218256691832533,1.7220748502994012,1.5693830697669218,1.42947747436718,120.5865,99.43204417074762,78.27758834149525,-8.219335838729322,-8.438671677458629,7,7,7,0.28894569097880163
T0140,B,TPO prior bin4: above_VAH,EVALUATED,2000,4.80439258750858,1.2550790256243274,1.15826990338837,1.0698974664780552,271.82929999999993,176.71392141302923,81.5985428260584,-43.636982497100036,-78.33796499419877,5,5,5,0.3346193345496
T0141,C,TPO prior bin4: above_VAH + 09:30VWAP<1sd,EVALUATED,622,1.4941660947151683,1.5303367602862086,1.3861400451872745,1.256040885694499,143.74640000000002,110.33286057251772,76.91932114503538,-20.76496774861816,-23.440235497236458,6,6,5,0.4292069223334261
T0142,C,TPO prior bin4: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0143,B,TPO prior bin4: below_VAL,EVALUATED,2128,5.111873713109128,1.2937642070187827,1.1988627962471101,1.111798592413437,314.3094,222.3478321232735,130.38626424654692,-48.48448037543457,-58.566583450178655,7,7,5,0.4670351139131079
T0144,C,TPO prior bin4: below_VAL + 09:30VWAP<1sd,EVALUATED,586,1.4076870281400138,1.4269440298507463,1.304612658445049,1.193377948385638,114.42099999999999,85.70816415664726,56.99532831329451,-16.079397464561097,-17.127694929122228,8,8,7,0.3061904455407885
T0145,C,TPO prior bin4: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0146,B,TPO prior bin4: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0147,C,TPO prior bin4: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0148,C,TPO prior bin4: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0149,B,TPO prior bin4: within_0.50ATR_POC,EVALUATED,555,1.3332189430336308,1.3549574882014783,1.246063282776347,1.145781206878702,84.14750000000001,60.837423858687984,37.52734771737598,-13.177409986661832,-16.989826409297553,6,4,4,0.36545391799474286
T0150,C,TPO prior bin4: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0151,C,TPO prior bin4: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0152,B,TPO prior bin4: 0.5-1.0ATR_from_POC,EVALUATED,1012,2.431022649279341,1.2658319424021685,1.178294760989895,1.0969887183016933,123.09589999999999,85.72467012091855,48.35344024183707,-24.3246055187512,-32.84584305839652,7,5,5,0.390270266203265
T0153,C,TPO prior bin4: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,EVALUATED,321,0.771105010295127,1.328968656716418,1.2099455839966302,1.1014402335267737,44.0818,29.496198674633423,14.910597349266832,-15.925399882526019,-21.32931512859301,8,6,6,0.5758439994800351
T0154,C,TPO prior bin4: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0155,B,TPO prior bin4: gt_1ATR_from_POC,EVALUATED,5471,13.142415923129718,1.2955593902606422,1.19460346286211,1.1026805154000874,853.0989000000001,589.2997894156372,325.5006788312742,-42.74038547821709,-75.32840126881925,7,7,6,0.5090302275469739
T0156,C,TPO prior bin4: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,1732,4.1606039807824295,1.4922921794871793,1.357411187248679,1.2354396589901333,383.98789999999997,293.53379913866013,203.0796982773203,-21.9355872158213,-25.597174431642628,8,8,8,0.2754594694699905
T0157,C,TPO prior bin4: gt_1ATR_from_POC + LONVWAP<1sd + EMA,EVALUATED,696,1.6719286204529855,1.8418555555555554,1.680173876944919,1.5326498806561284,219.72430000000003,186.0438196418566,152.36333928371317,-11.81676636926914,-13.254118029989087,8,8,7,0.2307871317120231
T0158,B,TPO prior bin4: above_POC,EVALUATED,2956,7.100892244337681,1.2748674156504964,1.173302052953703,1.0806947870015948,417.76590000000004,276.13813532868204,134.510370657364,-66.15462099156449,-93.56994383473477,6,6,5,0.33435833481734956
T0159,C,TPO prior bin4: above_POC + 09:30VWAP<1sd,EVALUATED,1072,2.5751544269045987,1.491729788354281,1.3502030020006202,1.2225427948335787,227.6942,170.96761213543252,114.24102427086504,-19.952668260749647,-24.26323652149918,8,8,7,0.35197660960405625
T0160,C,TPO prior bin4: above_POC + LONVWAP<1sd + EMA,EVALUATED,466,1.119423472889499,1.6982069767441859,1.5405372008308498,1.397245542860708,120.09160000000001,97.63689936119579,75.18219872239159,-11.530058385222823,-13.249016770445664,7,7,7,0.2550856121308136
T0161,B,TPO prior bin4: below_POC,EVALUATED,3251,7.809540150995196,1.3634550891808852,1.2594339909745265,1.1642768720187526,578.9161,432.4773457320581,286.0385914641161,-54.090525322378056,-72.89775064475651,7,7,5,0.3154743213812717
T0162,C,TPO prior bin4: below_POC + 09:30VWAP<1sd,EVALUATED,1090,2.6183939601921757,1.488565843621399,1.3601069210828054,1.2433619747593918,237.44299999999998,183.79215518380613,130.14131036761228,-16.98406726737756,-20.825134534755076,8,8,6,0.3634198560166427
T0163,C,TPO prior bin4: below_POC + LONVWAP<1sd + EMA,EVALUATED,470,1.1290322580645162,1.9319115151515152,1.7721534691995304,1.625151342711092,153.7654,132.93303848166943,112.10067696333886,-10.854015960045873,-11.890131920091743,8,7,7,0.2492372101269512
