event_id,series,family,release_ts_utc,release_date_et,surprise_abs,deadband_pass,prior_sign,notes,sigma,surprise_z,z_signed
708d432910d2,US_CORE_PPI_MOM,inflation,2021-09-10 12:30:00+00:00,2021-09-10,0.1,True,-1.0,,0.32003787654626514,0.31246301556292155,-0.31246301556292155
bdd04c33a829,US_CPI_MOM,inflation,2021-09-14 12:30:00+00:00,2021-09-14,-0.1,True,-1.0,,0.19924098397912435,-0.5019047688023744,0.5019047688023744
c2f0ccb1d521,US_CORE_CPI_MOM,inflation,2021-09-14 12:30:00+00:00,2021-09-14,-0.2,True,-1.0,,0.2539088359425425,-0.7876842854151731,0.7876842854151731
18cfc2c36eac,ADBE_EPS,eps,2021-09-21 20:06:40+00:00,2021-09-21,0.09,True,1.0,post_market,,,
76f464833073,MU_EPS,eps,2021-09-28 20:01:35+00:00,2021-09-28,0.08,True,1.0,post_market,,,
2886270b07b1,US_CORE_PCE_MOM,inflation,2021-10-01 12:30:00+00:00,2021-10-01,0.1,True,-1.0,,0.11934162828797103,0.8379305815963921,-0.8379305815963921
d56c8d6cc6ba,US_NFP,labour,2021-10-08 12:30:00+00:00,2021-10-08,-296.0,True,-1.0,,286.2455504484163,-1.0340772093620423,1.0340772093620423
1fd8e8c38f07,US_UNEMP_RATE,labour,2021-10-08 12:30:00+00:00,2021-10-08,-0.3,True,1.0,,0.29949452365105,-1.0016877649139886,-1.0016877649139886
e14532ece58b,US_CPI_MOM,inflation,2021-10-13 12:30:00+00:00,2021-10-13,0.1,True,-1.0,,0.2088931871468374,0.47871355387816905,-0.47871355387816905
c450f6d34564,US_CORE_CPI_MOM,inflation,2021-10-13 12:30:00+00:00,2021-10-13,0.0,False,-1.0,,0.26443192398846704,0.0,-0.0
62c53dab3491,US_PPI_MOM,inflation,2021-10-14 12:30:00+00:00,2021-10-14,-0.1,True,-1.0,,0.2674231693686086,-0.3739391775069527,0.3739391775069527
4c3b84020308,US_CORE_PPI_MOM,inflation,2021-10-14 12:30:00+00:00,2021-10-14,-0.3,True,-1.0,,0.3232177237864548,-0.9281669225484849,0.9281669225484849
