sym,filed,asof,float_usd
CDNS,2016-02-18,2015-07-04,5641117000.0
CDNS,2017-02-10,2016-07-02,7127225000.0
CDNS,2018-02-20,2017-07-01,9383931490.0
CDNS,2019-02-27,2018-06-30,12248414480.0
CDNS,2020-02-24,2019-06-29,19837633930.0
CDNS,2021-02-22,2020-06-27,26162000000.0
CDNS,2021-05-14,2020-06-27,26162000000.0
CDNS,2022-02-22,2021-07-03,38179000000.0
CDNS,2023-02-13,2022-07-02,40982000000.0
CDNS,2024-02-14,2023-06-30,63740000000.0
CDNS,2025-02-21,2024-06-30,84268000000.0
CDNS,2026-02-19,2025-06-30,83968000000.0
SNPS,2010-12-17,2010-04-30,2200000000.0
SNPS,2011-02-09,2010-04-30,2200000000.0
SNPS,2011-12-16,2011-04-30,2500000000.0
SNPS,2012-12-20,2012-04-30,2800000000.0
SNPS,2013-12-20,2013-04-30,3800000000.0
SNPS,2014-12-15,2014-04-30,3800000000.0
SNPS,2015-12-14,2015-04-30,5000000000.0
SNPS,2016-12-12,2016-04-30,4800000000.0
SNPS,2017-12-14,2017-04-28,8000000000.0
SNPS,2018-12-17,2018-05-04,10500000000.0
SNPS,2019-12-20,2019-04-30,13700000000.0
SNPS,2020-12-15,2020-04-30,17700000000.0
SNPS,2021-12-13,2021-04-30,27500000000.0
SNPS,2022-12-12,2022-04-30,32200000000.0
SNPS,2023-12-12,2023-04-30,46400000000.0
SNPS,2024-12-19,2024-04-30,67500000000.0
SNPS,2025-12-22,2025-04-30,59300000000.0
PANW,2013-09-25,2013-01-31,1873615675.0
PANW,2014-09-18,2014-01-31,3496229947.0
PANW,2015-09-17,2015-01-31,9283109783.0
PANW,2016-09-08,2016-01-29,12713712655.0
PANW,2017-09-07,2017-01-31,13100300364.0
PANW,2018-09-13,2018-01-31,14002012218.0
PANW,2019-09-09,2019-01-31,19595846244.0
PANW,2020-09-04,2020-01-31,22950644677.0
PANW,2021-09-03,2021-01-31,33296058434.0
PANW,2022-09-06,2022-01-31,49978456856.0
PANW,2023-09-01,2023-01-31,47351509692.0
PANW,2024-09-06,2024-01-31,108100000000.0
PANW,2025-08-29,2025-01-31,119700000000.0
CRWD,2020-03-23,2019-07-31,6150000000.0
CRWD,2021-03-18,2020-07-31,20800000000.0
CRWD,2022-03-16,2021-07-31,51500000000.0
CRWD,2023-03-09,2022-07-31,42800000000.0
CRWD,2024-03-07,2023-07-31,38600000000.0
CRWD,2025-03-10,2024-07-31,53500000000.0
CRWD,2026-03-05,2025-07-31,109300000000.0
INTU,2009-12-04,2009-01-30,6800000000.0
INTU,2010-03-01,2009-01-30,6800000000.0
INTU,2010-05-28,2009-01-30,6800000000.0
INTU,2010-09-16,2010-07-31,8300000000.0
INTU,2010-12-06,2010-01-31,8300000000.0
INTU,2011-03-01,2010-01-31,8300000000.0
INTU,2011-06-01,2010-01-31,8300000000.0
INTU,2011-09-14,2011-01-31,12900000000.0
INTU,2011-12-01,2011-01-31,12900000000.0
INTU,2012-02-29,2011-01-31,12900000000.0
INTU,2012-05-25,2011-01-31,12900000000.0
INTU,2012-09-13,2012-01-31,15700000000.0
INTU,2012-11-29,2012-01-31,15700000000.0
INTU,2013-03-01,2012-01-31,15700000000.0
INTU,2013-09-13,2013-01-31,17700000000.0
INTU,2014-09-12,2014-01-31,19800000000.0
INTU,2015-09-01,2015-01-30,23200000000.0
INTU,2016-09-01,2016-01-29,23600000000.0
INTU,2017-09-01,2017-01-31,28800000000.0
INTU,2018-08-31,2018-01-31,41000000000.0
INTU,2019-08-30,2019-01-31,53700000000.0
INTU,2020-08-31,2019-01-31,70600000000.0
INTU,2021-09-08,2021-01-31,96200000000.0
INTU,2022-09-02,2022-01-31,152800000000.0
INTU,2023-09-01,2023-01-31,115500000000.0
INTU,2024-09-04,2024-01-31,172100000000.0
INTU,2025-09-03,2025-01-31,164200000000.0
SMCI,2012-09-13,2011-12-31,463910000.0
SMCI,2013-09-11,2012-12-31,331423204.0
SMCI,2014-09-15,2013-12-31,576341886.0
SMCI,2015-09-10,2014-12-31,1263882520.0
SMCI,2015-11-16,2014-12-31,1263882520.0
SMCI,2016-08-26,2015-12-31,1312866144.0
SMCI,2019-05-17,2016-12-31,1110444831.0
SMCI,2019-12-19,2018-12-31,596876261.0
SMCI,2020-08-31,2019-12-31,1057388840.0
SMCI,2021-08-27,2020-12-31,1374947450.0
SMCI,2022-08-29,2021-12-31,1962046138.0
SMCI,2023-08-28,2022-12-31,3828767079.0
SMCI,2025-02-25,2023-12-31,13520556853.0
SMCI,2025-08-28,2024-12-31,15529499954.0
