sess,yr,series,az,agree,impulse,r5,mae5,r15,mae15,r30,mae30,r60,mae60,r_open,mae_open
2022-12-02,2022,US_NFP,0.3131912348471108,1.0,1.9220379836263124,0.10592995911103964,0.2160971165865222,0.09109976483548943,0.2160971165865222,-0.07838816974217178,0.45549882417745824,-0.6355797546662156,0.74998411050613,-0.6355797546662156,0.74998411050613
2022-12-09,2022,US_CORE_PPI_MOM,0.7466928139435463,1.0,1.522972569429637,-0.5068445676659206,0.7191128054063523,-0.4505285045919294,0.7191128054063523,-0.6389707156472024,0.7364408248137222,-0.6259747010916694,0.7364408248137222,-0.6259747010916694,0.7364408248137222
2022-12-13,2022,US_CPI_MOM,1.261095335723328,1.0,1.9583539910758452,-1.51146770402788,1.5555555555555545,-0.4923413566739643,1.630837657524098,-0.5612286246859499,1.630837657524098,-0.49436745279195504,1.630837657524098,-0.49436745279195504,1.630837657524098
2024-01-05,2024,US_UNEMP_RATE,0.5458648159491504,1.0,0.27273696881047194,0.11458778952514459,0.11305995233148458,-0.033612418260720034,0.14820020778585352,-0.30862311312107593,0.32390148505774263,-0.5668275988510718,0.6019678543054408,-0.5668275988510718,0.6019678543054408
2024-01-11,2024,US_CPI_MOM,1.3932610920384736,1.0,0.42575681944974075,-0.028013682472272095,0.10615711252655036,-0.00589761736258243,0.10615711252655036,0.22116065109695215,0.10615711252655036,-0.27423920736022733,0.30815050719510406,-0.27423920736022733,0.30815050719510406
2024-01-12,2024,US_CORE_PPI_MOM,1.0725328887197914,1.0,0.27207263156339145,0.09585182782061441,0.022124546446788962,-0.017695722059196672,0.03097710644324181,0.04718859215784299,0.07821723730814245,0.29787798799640886,0.07821723730814245,0.29787798799640886,0.07821723730814245
2024-02-02,2024,US_NFP,1.6290959388456951,1.0,0.4416358988923563,0.07559657105364881,0.12409248455975685,-0.10840263019014085,0.2481849691195137,0.15547219329901107,0.2481849691195137,0.13978233892938396,0.2481849691195137,0.13978233892938396,0.2481849691195137
2024-02-13,2024,US_CORE_CPI_MOM,1.4957567100278115,1.0,0.6388254577548658,0.3426154388438518,0.04088826224886155,0.36799436023968735,0.04088826224886155,0.4258019034191096,0.04088826224886155,0.6457525555163879,0.04088826224886155,0.6457525555163879,0.04088826224886155
2024-02-16,2024,US_CORE_PPI_MOM,2.1266132558701933,1.0,0.2403946362815268,0.11979050590594786,0.002785825718754076,0.14486293737463463,0.002785825718754076,0.05153777579675056,0.002785825718754076,0.16714954312457841,0.015322041453091906,0.16714954312457841,0.015322041453091906
2024-03-08,2024,US_UNEMP_RATE,1.192971329492848,1.0,0.27906976744185297,-0.07912255811415303,0.13523666416228597,0.20871985157699946,0.13523666416228597,0.2264542180508533,0.13523666416228597,-0.07912255811415303,0.13523666416228597,-0.07912255811415303,0.13523666416228597
2024-03-12,2024,US_CORE_CPI_MOM,1.3932610920384727,1.0,0.26650266502664666,-0.5865022267899977,0.6467968482356978,-0.6714628297362024,0.7523124357656785,-0.43713600548132003,0.7523124357656785,-0.47002398081534835,0.7523124357656785,-0.47002398081534835,0.7523124357656785
2024-03-14,2024,US_PPI_MOM,1.0435081492551312,1.0,0.1562117960281495,0.1142810497530733,0.053059058813920146,-0.013604886875362432,0.10475762894031071,-0.061221990939142046,0.10475762894031071,0.10883909500292166,0.10475762894031071,0.10883909500292166,0.10475762894031071
2024-04-05,2024,US_NFP,1.2774811175218876,1.0,0.23275030987467415,-0.10905426485001701,0.3050758548335919,-0.3036954211013132,0.44173879432918284,-0.2967932524399197,0.44173879432918284,-0.18083681892850922,0.44173879432918284,-0.18083681892850922,0.44173879432918284
2024-04-10,2024,US_CORE_CPI_MOM,1.3932610920384727,1.0,1.2956851240679579,0.49673202614378686,0.013759889920872403,0.25868593051255884,0.013759889920872403,0.38527691778466044,0.013759889920872403,0.22291021671826394,0.013759889920872403,0.22291021671826394,0.013759889920872403
2024-04-11,2024,US_PPI_MOM,0.3402785236893603,1.0,0.4773796547965725,0.12495708891178126,0.0865836563041178,0.06728458633711298,0.0865836563041178,0.2567799519395786,0.0865836563041178,0.3020940611053957,0.0865836563041178,0.3020940611053957,0.0865836563041178
2024-05-03,2024,US_NFP,0.8957480865859107,1.0,0.7926228354216525,0.2947215509896184,0.1048687043821106,0.12431382956434867,0.1048687043821106,0.18577235204559894,0.1048687043821106,0.29192798178592216,0.1048687043821106,0.29192798178592216,0.1048687043821106
2024-05-14,2024,US_CORE_PPI_MOM,1.6375944478474411,1.0,0.4316645037907296,-0.1262193197876238,0.14131076019701094,-0.18109728491266797,0.2894812660346524,-0.18246923404079407,0.2949690625471568,-0.3745421119784931,0.3910055015160063,-0.3745421119784931,0.3910055015160063
2024-05-15,2024,US_CPI_MOM,1.1978241142570365,1.0,0.6629984376061326,-0.010797241304849603,0.045909342551220256,-0.1754551712037533,0.26930467967629657,-0.14036413696300043,0.26930467967629657,-0.1214689646795275,0.26930467967629657,-0.1214689646795275,0.26930467967629657
2024-05-31,2024,US_CORE_PCE_MOM,1.9420166249104476,1.0,0.23959511118289978,0.11816838995568624,0.06180801891861876,0.23096548945884532,0.06180801891861876,0.19202363367798458,0.06180801891861876,-0.07385524372230945,0.10888706663618741,-0.07385524372230945,0.10888706663618741
2024-06-07,2024,US_NFP,1.1424847404586853,1.0,0.4295386388339595,0.02104349427222152,0.1920218852340394,0.3274893796114897,0.1920218852340394,0.13283705759341569,0.1920218852340394,-0.019728275880215307,0.19728275880210866,-0.019728275880215307,0.19728275880210866
2024-06-12,2024,US_CORE_CPI_MOM,1.3932610920384727,1.0,0.6425536325007863,0.016733601070950677,0.08502744067404588,-0.0991144063433258,0.1572854085552855,-0.015446400988572417,0.18957712693929984,-0.21367521367521292,0.2438741145047052,-0.21367521367521292,0.2438741145047052
2024-06-13,2024,US_CORE_PPI_MOM,1.472373326191028,1.0,0.16551443158525636,-0.020337345722165612,0.04577997634700459,-0.21735538240564845,0.24081341419908142,-0.1830361114995016,0.2804226734477888,-0.16905418631550928,0.2804226734477888,-0.16905418631550928,0.2804226734477888
2024-07-05,2024,US_UNEMP_RATE,0.6735044524148958,1.0,0.0831173910917693,-0.09037616023448436,0.12717667775385966,-0.13067904250122497,0.18598277212216185,-0.23082559843673467,0.27063765169792475,-0.07083536883243369,0.2878314654908509,-0.07083536883243369,0.2878314654908509
2024-07-11,2024,US_CPI_MOM,2.221391329606817,1.0,0.3399609763104605,-0.029824749770346326,0.07043598682010543,-0.052491559595813087,0.07043598682010543,-0.34477410734523595,0.3952427149581439,-0.3459670973360529,0.3952427149581439,-0.3459670973360529,0.3952427149581439
2024-07-12,2024,US_CORE_PPI_MOM,0.8951055583261015,1.0,0.06611327407625156,-0.17151818092717708,0.18989512888365478,-0.15559149269821493,0.19234538861119255,-0.18131921983730592,0.30628246594139874,-0.26217779084583004,0.30628246594139874,-0.26217779084583004,0.30628246594139874
2024-08-02,2024,US_UNEMP_RATE,1.3355836865519943,0.0,0.5772468532029174,0.4824879714001584,0.03359944090530753,0.36421793941349145,0.03359944090530753,0.15455742816439244,0.19218880197833244,-0.18278095852484189,0.368249872322135,-0.18278095852484189,0.368249872322135
2024-08-13,2024,US_CORE_PPI_MOM,0.8735020208029405,1.0,0.22261323948919998,0.11172441311431136,0.10385183804439979,-0.03458136596395933,0.10385183804439979,0.08778346744695575,0.12118145257944413,0.25270998204429684,0.12118145257944413,0.25270998204429684,0.12118145257944413
2024-09-11,2024,US_CORE_CPI_MOM,1.261095335723328,1.0,0.47361299052773864,-0.1466256114954545,0.21993841724317065,-0.2585942602737923,0.33590594633503557,-0.6931392543421122,0.7571213393583021,-0.5611762039962054,0.9184095120033042,-0.5611762039962054,0.9184095120033042
2024-09-12,2024,US_CORE_PPI_MOM,0.4249406492718209,1.0,0.13334886912390598,0.05444787264383688,0.027223936321907338,0.012963779200914072,0.093339210246568,0.10500661152739177,0.093339210246568,0.25020093857761605,0.093339210246568,0.25020093857761605,0.093339210246568
2024-09-27,2024,US_CORE_PCE_MOM,2.211083193570264,1.0,0.06998502074995194,0.0024538974025434257,0.11915583617914116,0.047850999349718926,0.11915583617914116,-0.0184042305191201,0.11915583617914116,-0.10183674220580752,0.15114278692553995,-0.10183674220580752,0.15114278692553995
2024-10-04,2024,US_NFP,1.3534154670382343,0.0,0.244145490782266,0.20751528405984487,0.15307455851056861,0.4001192902231665,0.15307455851056861,0.6312440976191658,0.15307455851056861,0.5107112679556547,0.15307455851056861,0.5107112679556547,0.15307455851056861
2024-10-10,2024,US_CORE_CPI_MOM,1.261095335723328,1.0,0.17738738959164335,0.12010245474710635,0.09804282020171584,0.20834099292865726,0.09804282020171584,0.18873242888831632,0.09804282020171584,0.2524602620194383,0.09804282020171584,0.2524602620194383,0.09804282020171584
2024-10-11,2024,US_PPI_MOM,0.3864211005733587,1.0,0.03433392191485307,0.019612650159350764,0.008581270763619031,-0.05025741603333911,0.1657560316778106,-0.10051483206667822,0.19651191353475816,-0.3395440058837962,0.35798201478673963,-0.3395440058837962,0.35798201478673963
2024-11-01,2024,US_NFP,1.300664602131441,0.0,0.05222841225627217,-0.22270883619079918,0.2637668897902401,-0.1580112971856673,0.2637668897902401,-0.05723243835071834,0.2637668897902401,0.06594172244756002,0.2637668897902401,0.06594172244756002,0.2637668897902401
