sess,rk,yr,imm_r,imm_mae,pb0.1_fire,pb0.2_fire,pb0.3_fire,pb0.1_r,pb0.1_mae,pb0.2_r,pb0.2_mae,pb0.3_r,pb0.3_mae
2024-10-31,1,2024,2.120348744787781,0.09904743271500482,0,0,0,,,,,,
2024-11-01,2,2024,0.1951983687881631,0.4533646400559421,1,1,1,0.18647902732540356,0.2705027361912693,0.18647902732540356,0.2705027361912693,0.18647902732540356,0.2705027361912693
2024-11-07,10,2024,-1.6,1.8705587710153182,0,0,0,,,,,,
2024-11-21,3,2024,0.4619355461211949,1.0419586385073787,1,1,1,0.7682071134768931,0.734855039789406,0.7755220557988718,0.7275430493437485,0.7633310751959721,0.7397297000865333
2024-12-13,7,2024,0.3510387293548911,0.2526942514942343,0,0,0,,,,,,
2026-01-29,4,2026,-1.6,2.734375,0,0,0,,,,,,
2026-01-30,2,2026,1.0911542350845127,0.23595126883999562,1,1,0,1.0749580997514885,0.15122618428402568,1.0749580997514885,0.15122618428402568,,
2026-02-04,10,2026,1.5295820980784192,0.5180683732062041,1,1,1,1.5770821027761395,0.46958062610749085,1.6216322594611587,0.42410406785664545,1.530551944214631,0.4235117992356985
2026-02-05,3,2026,-1.6,2.1869556802786905,1,1,1,-1.6,2.104448269890913,-1.6,2.104448269890913,-1.6,2.104448269890913
2026-02-06,5,2026,-1.6,3.1521905833035158,1,1,0,-1.6,2.8881455494819352,-1.6,2.8881455494819352,,
2026-02-26,1,2026,0.9565457740222327,0.35438589563878686,1,0,0,1.0883602630203937,0.2208267200331182,,,,
2026-03-05,6,2026,-0.49162743579047596,1.610656978504399,1,1,1,-0.46196948020982287,1.5803814713896358,-1.6,1.6570794227469987,-1.6,1.6570794227469987
2026-03-19,9,2026,0.11482339552086884,0.49689062309474785,1,1,1,0.20000812215724695,0.41118421052630527,0.21723021327134662,0.25681889699835647,0.21723021327134662,0.25681889699835647
2026-04-23,8,2026,0.6035493129320169,0.24363458503677826,0,0,0,,,,,,
2026-04-30,3,2026,0.5203254995944873,0.9995122085906472,1,1,1,0.6873134532709102,0.8320064793424953,0.6873134532709102,0.8320064793424953,0.6873134532709102,0.8320064793424953
2026-05-01,2,2026,0.7118178035853129,0.3785918561895585,1,1,1,0.7364183290360593,0.35407871442190153,0.7364183290360593,0.35407871442190153,0.74097530082331,0.0905551027800433
2026-05-06,10,2026,1.575269768264631,0.06018125177003064,0,0,0,,,,,,
2026-05-21,1,2026,-1.0396918668988508,1.4094172750122258,1,1,1,-0.5471897835143125,0.9151130232875726,-0.6210596456457385,0.9892531907259583,-0.6210596456457385,0.9892531907259583
2026-06-04,6,2026,-0.02460791390510586,0.4109521622153611,0,0,0,,,,,,
